cycle,model6,com_size,model15,model5,model13,model4,model18,model16,model1,model9,model11,model3,model12,model17,model2,model19,model8,model10,model7,model20,model14
0,0.01,1,,,,,,,,,,,,,,,,,,,
1,0.02706625123,1,,,,,,,,,,,,,,,,,,,
2,0.073258148469,1,,,,,,,,,,,,,,,,,,,
3,0.10834908157,1,,,,,,,,,,,,,,,,,,,
4,0.11157101209,1,,,,,,,,,,,,,,,,,,,
5,0.11478746532,1,,,,,,,,,,,,,,,,,,,
6,0.11799845059,1,,,,,,,,,,,,,,,,,,,
7,0.12120397719,1,,,,,,,,,,,,,,,,,,,
8,0.12440405438,1,,,,,,,,,,,,,,,,,,,
9,0.12759869145,1,,,,,,,,,,,,,,,,,,,
10,0.13078789763,1,,,,,,,,,,,,,,,,,,,
11,0.13353027849,1,,,,,,,,,,,,,,,,,,,
12,0.1363209091,1,,,,,,,,,,,,,,,,,,,
13,0.13916063588,1,,,,,,,,,,,,,,,,,,,
14,0.14205031853,1,,,,,,,,,,,,,,,,,,,
15,0.14499082848,1,,,,,,,,,,,,,,,,,,,
16,0.14798304426,1,,,,,,,,,,,,,,,,,,,
17,0.15102783275,1,,,,,,,,,,,,,,,,,,,
18,0.15346339694,1,,,,,,,,,,,,,,,,,,,
19,0.15350545221,1,,,,,,,,,,,,,,,,,,,
20,0.15354743598,1,,,,,,,,,,,,,,,,,,,
21,0.15358934837,1,,,,,,,,,,,,,,,,,,,
22,0.15363118952,1,,,,,,,,,,,,,,,,,,,
23,0.15367295953,1,,,,,,,,,,,,,,,,,,,
24,0.15371465854,1,,,,,,,,,,,,,,,,,,,
25,0.15375628666,1,,,,,,,,,,,,,,,,,,,
26,0.15379784401,1,,,,,,,,,,,,,,,,,,,
27,0.15383933071,1,,,,,,,,,,,,,,,,,,,
28,0.15388074689,1,,,,,,,,,,,,,,,,,,,
29,0.15392209266,1,,,,,,,,,,,,,,,,,,,
30,0.15396336814,1,,,,,,,,,,,,,,,,,,,
31,0.15400457345,1,,,,,,,,,,,,,,,,,,,
32,0.15404570871,1,,,,,,,,,,,,,,,,,,,
33,0.15408677405,1,,,,,,,,,,,,,,,,,,,
34,0.15412776957,1,,,,,,,,,,,,,,,,,,,
35,0.1541686954,1,,,,,,,,,,,,,,,,,,,
36,0.15420955165,1,,,,,,,,,,,,,,,,,,,
37,0.15425033845,1,,,,,,,,,,,,,,,,,,,
38,0.15429105592,1,,,,,,,,,,,,,,,,,,,
39,0.15433170416,1,,,,,,,,,,,,,,,,,,,
40,0.1543722833,1,,,,,,,,,,,,,,,,,,,
41,0.15441279346,1,,,,,,,,,,,,,,,,,,,
42,0.15445323474,1,,,,,,,,,,,,,,,,,,,
43,0.15449360728,1,,,,,,,,,,,,,,,,,,,
44,0.15453391119,1,,,,,,,,,,,,,,,,,,,
45,0.15457414658,1,,,,,,,,,,,,,,,,,,,
46,0.15461431357,1,,,,,,,,,,,,,,,,,,,
47,0.15465441227,1,,,,,,,,,,,,,,,,,,,
48,0.15469444281,1,,,,,,,,,,,,,,,,,,,
49,0.15473440529,1,,,,,,,,,,,,,,,,,,,
50,0.15477429984,1,,,,,,,,,,,,,,,,,,,
0,0.15477429984,2,0.01,,,,,,,,,,,,,,,,,,
1,0.25900227949,2,0.02706625123,,,,,,,,,,,,,,,,,,
2,0.30845941538,2,0.068431729774,,,,,,,,,,,,,,,,,,
3,0.34364253994,2,0.16124011755,,,,,,,,,,,,,,,,,,
4,0.36501578415,2,0.20097057121,,,,,,,,,,,,,,,,,,
5,0.38490735015,2,0.20796065373,,,,,,,,,,,,,,,,,,
6,0.40475796799,2,0.21008443437,,,,,,,,,,,,,,,,,,
7,0.42431068343,2,0.21143493877,,,,,,,,,,,,,,,,,,
8,0.44380681516,2,0.2127831473,,,,,,,,,,,,,,,,,,
9,0.46326665658,2,0.21412906388,,,,,,,,,,,,,,,,,,
10,0.48269312184,2,0.2154726924,,,,,,,,,,,,,,,,,,
11,0.50208652507,2,0.21681403675,,,,,,,,,,,,,,,,,,
12,0.52144695469,2,0.21815310082,,,,,,,,,,,,,,,,,,
13,0.54077453652,2,0.21948988848,,,,,,,,,,,,,,,,,,
14,0.54873908527,2,0.22079680776,,,,,,,,,,,,,,,,,,
15,0.54809222121,2,0.22070744558,,,,,,,,,,,,,,,,,,
16,0.54716046444,2,0.22033224293,,,,,,,,,,,,,,,,,,
17,0.54623029165,2,0.21995767811,,,,,,,,,,,,,,,,,,
18,0.54530170015,2,0.21958375006,,,,,,,,,,,,,,,,,,
19,0.54437468726,2,0.21921045769,,,,,,,,,,,,,,,,,,
20,0.54344925029,2,0.21883779991,,,,,,,,,,,,,,,,,,
21,0.54252538657,2,0.21846577565,,,,,,,,,,,,,,,,,,
22,0.54160309341,2,0.21809438383,,,,,,,,,,,,,,,,,,
23,0.54068236815,2,0.21772362338,,,,,,,,,,,,,,,,,,
24,0.53976320813,2,0.21735349322,,,,,,,,,,,,,,,,,,
25,0.53884561067,2,0.21698399228,,,,,,,,,,,,,,,,,,
26,0.53792957313,2,0.21661511949,,,,,,,,,,,,,,,,,,
27,0.53701509286,2,0.21624687379,,,,,,,,,,,,,,,,,,
28,0.5361021672,2,0.2158792541,,,,,,,,,,,,,,,,,,
29,0.53519079352,2,0.21551225937,,,,,,,,,,,,,,,,,,
30,0.53428096917,2,0.21514588853,,,,,,,,,,,,,,,,,,
31,0.53337269152,2,0.21478014052,,,,,,,,,,,,,,,,,,
32,0.53246595795,2,0.21441501428,,,,,,,,,,,,,,,,,,
33,0.53156076582,2,0.21405050876,,,,,,,,,,,,,,,,,,
34,0.53065711252,2,0.21368662289,,,,,,,,,,,,,,,,,,
35,0.52975499542,2,0.21332335563,,,,,,,,,,,,,,,,,,
36,0.52885441193,2,0.21296070593,,,,,,,,,,,,,,,,,,
37,0.52795535943,2,0.21259867273,,,,,,,,,,,,,,,,,,
38,0.52705783532,2,0.21223725498,,,,,,,,,,,,,,,,,,
39,0.526161837,2,0.21187645165,,,,,,,,,,,,,,,,,,
40,0.52526736188,2,0.21151626168,,,,,,,,,,,,,,,,,,
41,0.52437440736,2,0.21115668404,,,,,,,,,,,,,,,,,,
42,0.52348297087,2,0.21079771768,,,,,,,,,,,,,,,,,,
43,0.52259304982,2,0.21043936156,,,,,,,,,,,,,,,,,,
44,0.52170464163,2,0.21008161464,,,,,,,,,,,,,,,,,,
45,0.52081774374,2,0.2097244759,,,,,,,,,,,,,,,,,,
46,0.51993235358,2,0.20936794429,,,,,,,,,,,,,,,,,,
47,0.51904846858,2,0.20901201878,,,,,,,,,,,,,,,,,,
48,0.51816608618,2,0.20865669835,,,,,,,,,,,,,,,,,,
49,0.51728520384,2,0.20830198196,,,,,,,,,,,,,,,,,,
50,0.51640581899,2,0.20794786859,,,,,,,,,,,,,,,,,,
0,0.51640581899,3,0.20794786859,0.01,,,,,,,,,,,,,,,,,
1,0.62355715642,3,0.43923078915,0.025417924589,,,,,,,,,,,,,,,,,
