cycle,model13,com_size,model17,model16,model18,model10,model7,model6,model14,model4,model5,model19,model3,model12,model1,model9,model20,model8,model11,model2,model15
0,0.01,1,,,,,,,,,,,,,,,,,,,
1,0.051007436999,1,,,,,,,,,,,,,,,,,,,
2,0.21495822548,1,,,,,,,,,,,,,,,,,,,
3,0.42918278436,1,,,,,,,,,,,,,,,,,,,
4,0.62920773671,1,,,,,,,,,,,,,,,,,,,
5,0.63249453043,1,,,,,,,,,,,,,,,,,,,
6,0.63577573661,1,,,,,,,,,,,,,,,,,,,
7,0.63905136473,1,,,,,,,,,,,,,,,,,,,
8,0.64232142429,1,,,,,,,,,,,,,,,,,,,
9,0.64558592474,1,,,,,,,,,,,,,,,,,,,
10,0.64610200874,1,,,,,,,,,,,,,,,,,,,
11,0.64626367064,1,,,,,,,,,,,,,,,,,,,
12,0.64642505771,1,,,,,,,,,,,,,,,,,,,
13,0.64658617042,1,,,,,,,,,,,,,,,,,,,
14,0.64674700924,1,,,,,,,,,,,,,,,,,,,
15,0.64690757464,1,,,,,,,,,,,,,,,,,,,
16,0.64706786707,1,,,,,,,,,,,,,,,,,,,
17,0.64722788701,1,,,,,,,,,,,,,,,,,,,
18,0.64738763491,1,,,,,,,,,,,,,,,,,,,
19,0.64754711125,1,,,,,,,,,,,,,,,,,,,
20,0.64770631647,1,,,,,,,,,,,,,,,,,,,
21,0.64786525104,1,,,,,,,,,,,,,,,,,,,
22,0.64802391542,1,,,,,,,,,,,,,,,,,,,
23,0.64818231008,1,,,,,,,,,,,,,,,,,,,
24,0.64834043546,1,,,,,,,,,,,,,,,,,,,
25,0.64849829203,1,,,,,,,,,,,,,,,,,,,
26,0.64865588025,1,,,,,,,,,,,,,,,,,,,
27,0.64881320056,1,,,,,,,,,,,,,,,,,,,
28,0.64897025343,1,,,,,,,,,,,,,,,,,,,
29,0.64912703931,1,,,,,,,,,,,,,,,,,,,
30,0.64928355866,1,,,,,,,,,,,,,,,,,,,
31,0.64943981192,1,,,,,,,,,,,,,,,,,,,
32,0.64959579955,1,,,,,,,,,,,,,,,,,,,
33,0.649751522,1,,,,,,,,,,,,,,,,,,,
34,0.64990697973,1,,,,,,,,,,,,,,,,,,,
35,0.65006217317,1,,,,,,,,,,,,,,,,,,,
36,0.65021710279,1,,,,,,,,,,,,,,,,,,,
37,0.65037176902,1,,,,,,,,,,,,,,,,,,,
38,0.65052617233,1,,,,,,,,,,,,,,,,,,,
39,0.65068031315,1,,,,,,,,,,,,,,,,,,,
40,0.65083419192,1,,,,,,,,,,,,,,,,,,,
41,0.65098780911,1,,,,,,,,,,,,,,,,,,,
42,0.65114116514,1,,,,,,,,,,,,,,,,,,,
43,0.65129426047,1,,,,,,,,,,,,,,,,,,,
44,0.65144709554,1,,,,,,,,,,,,,,,,,,,
45,0.65159967079,1,,,,,,,,,,,,,,,,,,,
46,0.65175198666,1,,,,,,,,,,,,,,,,,,,
47,0.6519040436,1,,,,,,,,,,,,,,,,,,,
48,0.65205584203,1,,,,,,,,,,,,,,,,,,,
49,0.65220738241,1,,,,,,,,,,,,,,,,,,,
50,0.65235866517,1,,,,,,,,,,,,,,,,,,,
0,0.65235866517,2,0.01,,,,,,,,,,,,,,,,,,
1,1.2544117709,2,0.026881772593,,,,,,,,,,,,,,,,,,
2,1.2522792709,2,0.02683607358,,,,,,,,,,,,,,,,,,
