cycle,model19,com_size,model3,model4,model1,model5,model6,model7,model11,model9,model15,model12,model16,model18,model8,model10,model2,model20,model14,model17,model13
0,0.01,1,,,,,,,,,,,,,,,,,,,
1,0.04191133154,1,,,,,,,,,,,,,,,,,,,
2,0.16408989555,1,,,,,,,,,,,,,,,,,,,
3,0.36706759081,1,,,,,,,,,,,,,,,,,,,
4,0.46756861317,1,,,,,,,,,,,,,,,,,,,
5,0.46755172848,1,,,,,,,,,,,,,,,,,,,
6,0.46753487249,1,,,,,,,,,,,,,,,,,,,
7,0.46751804515,1,,,,,,,,,,,,,,,,,,,
8,0.46750124642,1,,,,,,,,,,,,,,,,,,,
9,0.46748447625,1,,,,,,,,,,,,,,,,,,,
10,0.46746773459,1,,,,,,,,,,,,,,,,,,,
11,0.46745102139,1,,,,,,,,,,,,,,,,,,,
12,0.4674343366,1,,,,,,,,,,,,,,,,,,,
13,0.46741768017,1,,,,,,,,,,,,,,,,,,,
14,0.46740105207,1,,,,,,,,,,,,,,,,,,,
15,0.46738445223,1,,,,,,,,,,,,,,,,,,,
16,0.46736788061,1,,,,,,,,,,,,,,,,,,,
17,0.46735133716,1,,,,,,,,,,,,,,,,,,,
18,0.46733482183,1,,,,,,,,,,,,,,,,,,,
19,0.46731833458,1,,,,,,,,,,,,,,,,,,,
20,0.46730187536,1,,,,,,,,,,,,,,,,,,,
21,0.46728544412,1,,,,,,,,,,,,,,,,,,,
22,0.46726904081,1,,,,,,,,,,,,,,,,,,,
23,0.46725266539,1,,,,,,,,,,,,,,,,,,,
24,0.46723631781,1,,,,,,,,,,,,,,,,,,,
25,0.46721999802,1,,,,,,,,,,,,,,,,,,,
26,0.46720370597,1,,,,,,,,,,,,,,,,,,,
27,0.46718744162,1,,,,,,,,,,,,,,,,,,,
28,0.46717120491,1,,,,,,,,,,,,,,,,,,,
29,0.46715499581,1,,,,,,,,,,,,,,,,,,,
30,0.46713881427,1,,,,,,,,,,,,,,,,,,,
31,0.46712266023,1,,,,,,,,,,,,,,,,,,,
32,0.46710653366,1,,,,,,,,,,,,,,,,,,,
33,0.4670904345,1,,,,,,,,,,,,,,,,,,,
34,0.46707436271,1,,,,,,,,,,,,,,,,,,,
35,0.46705831824,1,,,,,,,,,,,,,,,,,,,
36,0.46704230105,1,,,,,,,,,,,,,,,,,,,
37,0.46702631108,1,,,,,,,,,,,,,,,,,,,
38,0.4670103483,1,,,,,,,,,,,,,,,,,,,
39,0.46699441266,1,,,,,,,,,,,,,,,,,,,
40,0.4669785041,1,,,,,,,,,,,,,,,,,,,
41,0.46696262259,1,,,,,,,,,,,,,,,,,,,
42,0.46694676808,1,,,,,,,,,,,,,,,,,,,
43,0.46693094053,1,,,,,,,,,,,,,,,,,,,
44,0.46691513987,1,,,,,,,,,,,,,,,,,,,
45,0.46689936608,1,,,,,,,,,,,,,,,,,,,
46,0.46688361911,1,,,,,,,,,,,,,,,,,,,
47,0.46686789891,1,,,,,,,,,,,,,,,,,,,
48,0.46685220543,1,,,,,,,,,,,,,,,,,,,
49,0.46683653862,1,,,,,,,,,,,,,,,,,,,
50,0.46682089846,1,,,,,,,,,,,,,,,,,,,
0,0.46682089846,2,0.01,,,,,,,,,,,,,,,,,,
1,0.92034688155,2,0.027219731147,,,,,,,,,,,,,,,,,,
2,0.91878229186,2,0.074090630559,,,,,,,,,,,,,,,,,,
3,0.91722036196,2,0.1891200553,,,,,,,,,,,,,,,,,,
4,0.91566108734,2,0.4044803596,,,,,,,,,,,,,,,,,,
5,0.9141044635,2,0.67345413589,,,,,,,,,,,,,,,,,,
6,0.91255048591,2,0.67388342036,,,,,,,,,,,,,,,,,,
7,0.91099915008,2,0.67431197504,,,,,,,,,,,,,,,,,,
8,0.90945045153,2,0.67473980117,,,,,,,,,,,,,,,,,,
9,0.90790438576,2,0.67516690001,,,,,,,,,,,,,,,,,,
10,0.9063609483,2,0.67559327277,,,,,,,,,,,,,,,,,,
11,0.90482013469,2,0.6760189207,,,,,,,,,,,,,,,,,,
12,0.90328194046,2,0.67644384503,,,,,,,,,,,,,,,,,,
13,0.90174636116,2,0.67686804699,,,,,,,,,,,,,,,,,,
14,0.90021339235,2,0.6772915278,,,,,,,,,,,,,,,,,,
15,0.89868302958,2,0.6777142887,,,,,,,,,,,,,,,,,,
16,0.89715526843,2,0.6781363309,,,,,,,,,,,,,,,,,,
17,0.89563010448,2,0.67855765564,,,,,,,,,,,,,,,,,,
18,0.8941075333,2,0.67897826412,,,,,,,,,,,,,,,,,,
19,0.89258755049,2,0.67939815756,,,,,,,,,,,,,,,,,,
20,0.89107015166,2,0.67981733719,,,,,,,,,,,,,,,,,,
21,0.8895553324,2,0.68023580421,,,,,,,,,,,,,,,,,,
22,0.88804308833,2,0.68065355984,,,,,,,,,,,,,,,,,,
23,0.88653341508,2,0.68107060528,,,,,,,,,,,,,,,,,,
24,0.88502630828,2,0.68148694174,,,,,,,,,,,,,,,,,,
25,0.88352176355,2,0.68190257044,,,,,,,,,,,,,,,,,,
26,0.88201977655,2,0.68231749256,,,,,,,,,,,,,,,,,,
27,0.88052034293,2,0.68273170932,,,,,,,,,,,,,,,,,,
28,0.87902345835,2,0.68314522191,,,,,,,,,,,,,,,,,,
29,0.87752911847,2,0.68355803152,,,,,,,,,,,,,,,,,,
30,0.87603731897,2,0.68397013936,,,,,,,,,,,,,,,,,,
31,0.87454805553,2,0.68438154662,,,,,,,,,,,,,,,,,,
32,0.87306132383,2,0.68479225449,,,,,,,,,,,,,,,,,,
33,0.87157711958,2,0.68520226415,,,,,,,,,,,,,,,,,,
34,0.87009543848,2,0.68561157679,,,,,,,,,,,,,,,,,,
35,0.86861627624,2,0.68602019361,,,,,,,,,,,,,,,,,,
36,0.86713962857,2,0.68642811577,,,,,,,,,,,,,,,,,,
37,0.8656654912,2,0.68683534447,,,,,,,,,,,,,,,,,,
38,0.86419385986,2,0.68724188088,,,,,,,,,,,,,,,,,,
39,0.8627247303,2,0.68764772618,,,,,,,,,,,,,,,,,,
40,0.86125809826,2,0.68805288154,,,,,,,,,,,,,,,,,,
41,0.85979395949,2,0.68845734813,,,,,,,,,,,,,,,,,,
42,0.85833230976,2,0.68886112713,,,,,,,,,,,,,,,,,,
43,0.85687314483,2,0.68926421971,,,,,,,,,,,,,,,,,,
44,0.85541646049,2,0.68966662703,,,,,,,,,,,,,,,,,,
45,0.8539622525,2,0.69006835026,,,,,,,,,,,,,,,,,,
46,0.85251051668,2,0.69046939056,,,,,,,,,,,,,,,,,,
47,0.8510612488,2,0.69086974909,,,,,,,,,,,,,,,,,,
48,0.84961444467,2,0.69126942701,,,,,,,,,,,,,,,,,,
49,0.84817010012,2,0.69166842548,,,,,,,,,,,,,,,,,,
50,0.84672821095,2,0.69206674565,,,,,,,,,,,,,,,,,,
0,0.84672821095,3,0.69206674565,0.01,,,,,,,,,,,,,,,,,
