cycle,model1,com_size,model9,model18,model10,model3,model19,model17,model7,model20,model11,model15,model16,model12,model14,model8,model2,model4,model6,model5,model13
0,0.01,1,,,,,,,,,,,,,,,,,,,
1,0.020657840812,1,,,,,,,,,,,,,,,,,,,
2,0.042672096068,1,,,,,,,,,,,,,,,,,,,
3,0.072200301698,1,,,,,,,,,,,,,,,,,,,
4,0.09478475347,1,,,,,,,,,,,,,,,,,,,
5,0.096253310179,1,,,,,,,,,,,,,,,,,,,
6,0.097719370342,1,,,,,,,,,,,,,,,,,,,
7,0.099182938202,1,,,,,,,,,,,,,,,,,,,
8,0.100644018,1,,,,,,,,,,,,,,,,,,,
9,0.10210261396,1,,,,,,,,,,,,,,,,,,,
10,0.1035587303,1,,,,,,,,,,,,,,,,,,,
11,0.10501237125,1,,,,,,,,,,,,,,,,,,,
12,0.10646354101,1,,,,,,,,,,,,,,,,,,,
13,0.10791224378,1,,,,,,,,,,,,,,,,,,,
14,0.10935848375,1,,,,,,,,,,,,,,,,,,,
15,0.11080226512,1,,,,,,,,,,,,,,,,,,,
16,0.11224359206,1,,,,,,,,,,,,,,,,,,,
17,0.11368246874,1,,,,,,,,,,,,,,,,,,,
18,0.11511889934,1,,,,,,,,,,,,,,,,,,,
19,0.116552888,1,,,,,,,,,,,,,,,,,,,
20,0.11798443888,1,,,,,,,,,,,,,,,,,,,
21,0.11941355612,1,,,,,,,,,,,,,,,,,,,
22,0.12084024387,1,,,,,,,,,,,,,,,,,,,
23,0.12226450624,1,,,,,,,,,,,,,,,,,,,
24,0.12368634737,1,,,,,,,,,,,,,,,,,,,
25,0.12510577137,1,,,,,,,,,,,,,,,,,,,
26,0.12652278235,1,,,,,,,,,,,,,,,,,,,
27,0.12793738441,1,,,,,,,,,,,,,,,,,,,
28,0.12934958164,1,,,,,,,,,,,,,,,,,,,
29,0.13075937815,1,,,,,,,,,,,,,,,,,,,
30,0.13216677799,1,,,,,,,,,,,,,,,,,,,
31,0.13357178526,1,,,,,,,,,,,,,,,,,,,
32,0.13497440401,1,,,,,,,,,,,,,,,,,,,
33,0.13637463832,1,,,,,,,,,,,,,,,,,,,
34,0.13777249222,1,,,,,,,,,,,,,,,,,,,
35,0.13916796978,1,,,,,,,,,,,,,,,,,,,
36,0.14056107502,1,,,,,,,,,,,,,,,,,,,
37,0.14195181198,1,,,,,,,,,,,,,,,,,,,
38,0.14271457326,1,,,,,,,,,,,,,,,,,,,
39,0.14347918009,1,,,,,,,,,,,,,,,,,,,
40,0.14424566347,1,,,,,,,,,,,,,,,,,,,
41,0.14501402799,1,,,,,,,,,,,,,,,,,,,
42,0.14557153013,1,,,,,,,,,,,,,,,,,,,
43,0.14570734208,1,,,,,,,,,,,,,,,,,,,
44,0.14584292315,1,,,,,,,,,,,,,,,,,,,
45,0.14597827374,1,,,,,,,,,,,,,,,,,,,
46,0.14611339422,1,,,,,,,,,,,,,,,,,,,
47,0.14624828501,1,,,,,,,,,,,,,,,,,,,
48,0.14638294648,1,,,,,,,,,,,,,,,,,,,
49,0.14651737902,1,,,,,,,,,,,,,,,,,,,
50,0.14665158303,1,,,,,,,,,,,,,,,,,,,
0,0.14665158303,2,0.01,,,,,,,,,,,,,,,,,,
1,0.22689355987,2,0.04903886592,,,,,,,,,,,,,,,,,,
2,0.22650784081,2,0.17903582562,,,,,,,,,,,,,,,,,,
3,0.22612277748,2,0.37581338556,,,,,,,,,,,,,,,,,,
4,0.22573836876,2,0.56240103623,,,,,,,,,,,,,,,,,,
5,0.22535461354,2,0.5755896433,,,,,,,,,,,,,,,,,,
6,0.22497151069,2,0.5811518772,,,,,,,,,,,,,,,,,,
7,0.22458905912,2,0.58585850306,,,,,,,,,,,,,,,,,,
8,0.22420725772,2,0.58644214742,,,,,,,,,,,,,,,,,,
9,0.22382610539,2,0.58702127342,,,,,,,,,,,,,,,,,,
10,0.22344560101,2,0.5875994149,,,,,,,,,,,,,,,,,,
11,0.22306574348,2,0.58817657355,,,,,,,,,,,,,,,,,,
12,0.22268653172,2,0.58875275103,,,,,,,,,,,,,,,,,,
13,0.22230796462,2,0.589327949,,,,,,,,,,,,,,,,,,
14,0.22193004108,2,0.58990216914,,,,,,,,,,,,,,,,,,
15,0.22155276001,2,0.5904754131,,,,,,,,,,,,,,,,,,
16,0.22117612032,2,0.59104768255,,,,,,,,,,,,,,,,,,
17,0.22080012091,2,0.59161897914,,,,,,,,,,,,,,,,,,
18,0.22042476071,2,0.59218930452,,,,,,,,,,,,,,,,,,
19,0.22005003861,2,0.59275866036,,,,,,,,,,,,,,,,,,
20,0.21967595355,2,0.59332704828,,,,,,,,,,,,,,,,,,
21,0.21930250443,2,0.59389446995,,,,,,,,,,,,,,,,,,
22,0.21892969017,2,0.594460927,,,,,,,,,,,,,,,,,,
23,0.21855750969,2,0.59502642108,,,,,,,,,,,,,,,,,,
24,0.21818596193,2,0.59559095381,,,,,,,,,,,,,,,,,,
25,0.21781504579,2,0.59615452684,,,,,,,,,,,,,,,,,,
26,0.21744476021,2,0.5967171418,,,,,,,,,,,,,,,,,,
27,0.21707510412,2,0.59727880031,,,,,,,,,,,,,,,,,,
28,0.21670607645,2,0.597839504,,,,,,,,,,,,,,,,,,
29,0.21633767612,2,0.59839925449,,,,,,,,,,,,,,,,,,
30,0.21596990207,2,0.59895805341,,,,,,,,,,,,,,,,,,
31,0.21560275323,2,0.59951590237,,,,,,,,,,,,,,,,,,
32,0.21523622855,2,0.60007280298,,,,,,,,,,,,,,,,,,
33,0.21487032696,2,0.60062875687,,,,,,,,,,,,,,,,,,
34,0.21450504741,2,0.60118376563,,,,,,,,,,,,,,,,,,
35,0.21414038883,2,0.60173783088,,,,,,,,,,,,,,,,,,
36,0.21377635017,2,0.60229095422,,,,,,,,,,,,,,,,,,
37,0.21341293037,2,0.60284313725,,,,,,,,,,,,,,,,,,
38,0.21305012839,2,0.60339438156,,,,,,,,,,,,,,,,,,
39,0.21268794317,2,0.60394468877,,,,,,,,,,,,,,,,,,
40,0.21232637367,2,0.60449406045,,,,,,,,,,,,,,,,,,
41,0.21196541883,2,0.60504249819,,,,,,,,,,,,,,,,,,
42,0.21160507762,2,0.6055900036,,,,,,,,,,,,,,,,,,
43,0.21124534899,2,0.60613657824,,,,,,,,,,,,,,,,,,
44,0.2108862319,2,0.60668222371,,,,,,,,,,,,,,,,,,
45,0.2105277253,2,0.60722694158,,,,,,,,,,,,,,,,,,
46,0.21016982817,2,0.60777073343,,,,,,,,,,,,,,,,,,
47,0.20981253946,2,0.60831360083,,,,,,,,,,,,,,,,,,
48,0.20945585814,2,0.60885554536,,,,,,,,,,,,,,,,,,
49,0.20909978318,2,0.60939656858,,,,,,,,,,,,,,,,,,
50,0.20874431355,2,0.60993667207,,,,,,,,,,,,,,,,,,
0,0.20874431355,3,0.60993667207,0.01,,,,,,,,,,,,,,,,,
1,0.27378050167,3,1.2556754909,0.009983,,,,,,,,,,,,,,,,,
2,0.27419368114,3,1.2830075014,0.012924874162,,,,,,,,,,,,,,,,,
3,0.27539739164,3,1.2879998959,0.016171666164,,,,,,,,,,,,,,,,,
4,0.27531774004,3,1.2883425982,0.018111888181,,,,,,,,,,,,,,,,,
5,0.27514256865,3,1.2885450037,0.018929229419,,,,,,,,,,,,,,,,,
6,0.27496769506,3,1.2883087974,0.019753509434,,,,,,,,,,,,,,,,,
7,0.27479311875,3,1.2880444074,0.020517489249,,,,,,,,,,,,,,,,,
8,0.27461883922,3,1.2876591983,0.021232346383,,,,,,,,,,,,,,,,,
9,0.27444485597,3,1.2872126666,0.021917554821,,,,,,,,,,,,,,,,,
10,0.27427116848,3,1.2867744962,0.022604850239,,,,,,,,,,,,,,,,,
11,0.27409777627,3,1.2863168506,0.023286420525,,,,,,,,,,,,,,,,,
12,0.27392467882,3,1.2859181919,0.02399329064,,,,,,,,,,,,,,,,,
13,0.27375187564,3,1.2855910192,0.024785320179,,,,,,,,,,,,,,,,,
14,0.27357936623,3,1.2851800143,0.025472659923,,,,,,,,,,,,,,,,,
15,0.27340715007,3,1.2847267617,0.026150684974,,,,,,,,,,,,,,,,,
16,0.27323522669,3,1.2842885077,0.026827533879,,,,,,,,,,,,,,,,,
17,0.27306359558,3,1.2838336383,0.027501925603,,,,,,,,,,,,,,,,,
18,0.27289225624,3,1.2833986288,0.028176462237,,,,,,,,,,,,,,,,,
19,0.27272120818,3,1.2829454185,0.028848560783,,,,,,,,,,,,,,,,,
20,0.27255045089,3,1.2825119481,0.029520812781,,,,,,,,,,,,,,,,,
21,0.2723799839,3,1.2820602411,0.03019062593,,,,,,,,,,,,,,,,,
22,0.2722098067,3,1.2816282695,0.030860594998,,,,,,,,,,,,,,,,,
23,0.2720399188,3,1.2811780662,0.031528130518,,,,,,,,,,,,,,,,,
24,0.27187031971,3,1.2807475962,0.032195826262,,,,,,,,,,,,,,,,,
25,0.27170100894,3,1.2802988896,0.032861091888,,,,,,,,,,,,,,,,,
26,0.271531986,3,1.2798699136,0.033526521465,,,,,,,,,,,,,,,,,
27,0.27136325039,3,1.2794226992,0.03418952491,,,,,,,,,,,,,,,,,
28,0.27119480164,3,1.2789952129,0.034852696191,,,,,,,,,,,,,,,,,
29,0.27102663925,3,1.2785494854,0.035513445139,,,,,,,,,,,,,,,,,
30,0.27085876273,3,1.2781234835,0.036174365744,,,,,,,,,,,,,,,,,
31,0.27069117161,3,1.277679238,0.036832867853,,,,,,,,,,,,,,,,,
32,0.27052386539,3,1.2772547155,0.037491545443,,,,,,,,,,,,,,,,,
33,0.27035684359,3,1.276811947,0.038147808347,,,,,,,,,,,,,,,,,
34,0.27019010573,3,1.2763888989,0.038804250537,,,,,,,,,,,,,,,,,
35,0.27002365132,3,1.2759476022,0.039458281842,,,,,,,,,,,,,,,,,
36,0.26985747989,3,1.2755260235,0.040112496227,,,,,,,,,,,,,,,,,
37,0.26969159094,3,1.2750861937,0.040764303515,,,,,,,,,,,,,,,,,
38,0.26952598401,3,1.2746660794,0.041416297663,,,,,,,,,,,,,,,,,
39,0.26936065861,3,1.2742277115,0.042065888489,,,,,,,,,,,,,,,,,
40,0.26919561426,3,1.2738090566,0.042715669943,,,,,,,,,,,,,,,,,
41,0.26903085049,3,1.2733721456,0.043363051835,,,,,,,,,,,,,,,,,
42,0.26886636682,3,1.2729549452,0.044010628111,,,,,,,,,,,,,,,,,
