cycle,model6,com_size,model3,model13,model7,model11,model16,model2,model14,model18,model8,model1,model15,model5,model10,model20,model4,model17,model19,model9,model12
0,0.01,1,,,,,,,,,,,,,,,,,,,
1,0.02706625123,1,,,,,,,,,,,,,,,,,,,
2,0.073258148469,1,,,,,,,,,,,,,,,,,,,
3,0.10834908157,1,,,,,,,,,,,,,,,,,,,
4,0.11157101209,1,,,,,,,,,,,,,,,,,,,
5,0.11478746532,1,,,,,,,,,,,,,,,,,,,
6,0.11799845059,1,,,,,,,,,,,,,,,,,,,
7,0.12120397719,1,,,,,,,,,,,,,,,,,,,
8,0.12440405438,1,,,,,,,,,,,,,,,,,,,
9,0.12759869145,1,,,,,,,,,,,,,,,,,,,
10,0.13078789763,1,,,,,,,,,,,,,,,,,,,
11,0.13353027849,1,,,,,,,,,,,,,,,,,,,
12,0.1363209091,1,,,,,,,,,,,,,,,,,,,
13,0.13916063588,1,,,,,,,,,,,,,,,,,,,
14,0.14205031853,1,,,,,,,,,,,,,,,,,,,
15,0.14499082848,1,,,,,,,,,,,,,,,,,,,
16,0.14798304426,1,,,,,,,,,,,,,,,,,,,
17,0.15102783275,1,,,,,,,,,,,,,,,,,,,
18,0.15346339694,1,,,,,,,,,,,,,,,,,,,
19,0.15350545221,1,,,,,,,,,,,,,,,,,,,
20,0.15354743598,1,,,,,,,,,,,,,,,,,,,
21,0.15358934837,1,,,,,,,,,,,,,,,,,,,
22,0.15363118952,1,,,,,,,,,,,,,,,,,,,
23,0.15367295953,1,,,,,,,,,,,,,,,,,,,
24,0.15371465854,1,,,,,,,,,,,,,,,,,,,
25,0.15375628666,1,,,,,,,,,,,,,,,,,,,
26,0.15379784401,1,,,,,,,,,,,,,,,,,,,
27,0.15383933071,1,,,,,,,,,,,,,,,,,,,
28,0.15388074689,1,,,,,,,,,,,,,,,,,,,
29,0.15392209266,1,,,,,,,,,,,,,,,,,,,
30,0.15396336814,1,,,,,,,,,,,,,,,,,,,
31,0.15400457345,1,,,,,,,,,,,,,,,,,,,
32,0.15404570871,1,,,,,,,,,,,,,,,,,,,
33,0.15408677405,1,,,,,,,,,,,,,,,,,,,
34,0.15412776957,1,,,,,,,,,,,,,,,,,,,
35,0.1541686954,1,,,,,,,,,,,,,,,,,,,
36,0.15420955165,1,,,,,,,,,,,,,,,,,,,
37,0.15425033845,1,,,,,,,,,,,,,,,,,,,
38,0.15429105592,1,,,,,,,,,,,,,,,,,,,
39,0.15433170416,1,,,,,,,,,,,,,,,,,,,
40,0.1543722833,1,,,,,,,,,,,,,,,,,,,
41,0.15441279346,1,,,,,,,,,,,,,,,,,,,
42,0.15445323474,1,,,,,,,,,,,,,,,,,,,
43,0.15449360728,1,,,,,,,,,,,,,,,,,,,
44,0.15453391119,1,,,,,,,,,,,,,,,,,,,
45,0.15457414658,1,,,,,,,,,,,,,,,,,,,
46,0.15461431357,1,,,,,,,,,,,,,,,,,,,
47,0.15465441227,1,,,,,,,,,,,,,,,,,,,
48,0.15469444281,1,,,,,,,,,,,,,,,,,,,
49,0.15473440529,1,,,,,,,,,,,,,,,,,,,
50,0.15477429984,1,,,,,,,,,,,,,,,,,,,
0,0.15477429984,2,0.01,,,,,,,,,,,,,,,,,,
1,0.25593936729,2,0.027219731147,,,,,,,,,,,,,,,,,,
2,0.28650911484,2,0.074090993862,,,,,,,,,,,,,,,,,,
3,0.30442787154,2,0.20167176189,,,,,,,,,,,,,,,,,,
4,0.31392735702,2,0.36560231605,,,,,,,,,,,,,,,,,,
5,0.31489475688,2,0.52503282469,,,,,,,,,,,,,,,,,,
6,0.31481944319,2,0.60340842888,,,,,,,,,,,,,,,,,,
7,0.31428425014,2,0.68167796037,,,,,,,,,,,,,,,,,,
8,0.31374996691,2,0.69902505809,,,,,,,,,,,,,,,,,,
9,0.31321659197,2,0.69783671549,,,,,,,,,,,,,,,,,,
10,0.31268412376,2,0.69665039307,,,,,,,,,,,,,,,,,,
11,0.31215256075,2,0.6954660874,,,,,,,,,,,,,,,,,,
12,0.3116219014,2,0.69428379505,,,,,,,,,,,,,,,,,,
13,0.31109214417,2,0.6931035126,,,,,,,,,,,,,,,,,,
14,0.31056328752,2,0.69192523663,,,,,,,,,,,,,,,,,,
15,0.31003532993,2,0.69074896373,,,,,,,,,,,,,,,,,,
16,0.30950826987,2,0.68957469049,,,,,,,,,,,,,,,,,,
17,0.30898210581,2,0.68840241352,,,,,,,,,,,,,,,,,,
18,0.30845683623,2,0.68723212941,,,,,,,,,,,,,,,,,,
19,0.30793245961,2,0.68606383479,,,,,,,,,,,,,,,,,,
20,0.30740897443,2,0.68489752627,,,,,,,,,,,,,,,,,,
21,0.30688637917,2,0.68373320048,,,,,,,,,,,,,,,,,,
22,0.30636467233,2,0.68257085404,,,,,,,,,,,,,,,,,,
23,0.30584385239,2,0.68141048359,,,,,,,,,,,,,,,,,,
24,0.30532391784,2,0.68025208576,,,,,,,,,,,,,,,,,,
25,0.30480486718,2,0.67909565722,,,,,,,,,,,,,,,,,,
26,0.3042866989,2,0.6779411946,,,,,,,,,,,,,,,,,,
27,0.30376941151,2,0.67678869457,,,,,,,,,,,,,,,,,,
28,0.30325300351,2,0.67563815379,,,,,,,,,,,,,,,,,,
29,0.30273747341,2,0.67448956893,,,,,,,,,,,,,,,,,,
30,0.3022228197,2,0.67334293666,,,,,,,,,,,,,,,,,,
31,0.30170904091,2,0.67219825367,,,,,,,,,,,,,,,,,,
32,0.30119613554,2,0.67105551664,,,,,,,,,,,,,,,,,,
33,0.30068410211,2,0.66991472226,,,,,,,,,,,,,,,,,,
34,0.30017293914,2,0.66877586723,,,,,,,,,,,,,,,,,,
35,0.29966264514,2,0.66763894826,,,,,,,,,,,,,,,,,,
36,0.29915321864,2,0.66650396204,,,,,,,,,,,,,,,,,,
37,0.29864465817,2,0.66537090531,,,,,,,,,,,,,,,,,,
38,0.29813696225,2,0.66423977477,,,,,,,,,,,,,,,,,,
39,0.29763012942,2,0.66311056715,,,,,,,,,,,,,,,,,,
40,0.2971241582,2,0.66198327919,,,,,,,,,,,,,,,,,,
41,0.29661904713,2,0.66085790761,,,,,,,,,,,,,,,,,,
42,0.29611479475,2,0.65973444917,,,,,,,,,,,,,,,,,,
43,0.2956113996,2,0.65861290061,,,,,,,,,,,,,,,,,,
44,0.29510886022,2,0.65749325868,,,,,,,,,,,,,,,,,,
45,0.29460717516,2,0.65637552014,,,,,,,,,,,,,,,,,,
46,0.29410634296,2,0.65525968175,,,,,,,,,,,,,,,,,,
47,0.29360636217,2,0.65414574029,,,,,,,,,,,,,,,,,,
48,0.29310723136,2,0.65303369254,,,,,,,,,,,,,,,,,,
49,0.29260894907,2,0.65192353526,,,,,,,,,,,,,,,,,,
50,0.29211151385,2,0.65081526525,,,,,,,,,,,,,,,,,,
0,0.29211151385,3,0.65081526525,0.01,,,,,,,,,,,,,,,,,
1,0.3712132372,3,0.95820650359,0.037859086432,,,,,,,,,,,,,,,,,
