cycle,x,y,species,biomass,seq_num
0,0,0,model2,0.01,1
1,0,0,model2,0.026970768854,1
2,0,0,model2,0.072741511831,1
3,0,0,model2,0.1961818231,1
4,0,0,model2,0.25588942113,1
5,0,0,model2,0.2983584248,1
6,0,0,model2,0.31531586823,1
7,0,0,model2,0.32218851335,1
8,0,0,model2,0.32268088519,1
9,0,0,model2,0.32316833332,1
10,0,0,model2,0.32365090697,1
11,0,0,model2,0.32412865488,1
12,0,0,model2,0.32460162531,1
13,0,0,model2,0.32506986603,1
14,0,0,model2,0.32553342435,1
15,0,0,model2,0.3259921668,1
16,0,0,model2,0.32644295092,1
17,0,0,model2,0.3268892272,1
18,0,0,model2,0.32733104071,1
19,0,0,model2,0.32776843609,1
20,0,0,model2,0.32820145752,1
21,0,0,model2,0.32863014873,1
22,0,0,model2,0.32905455303,1
23,0,0,model2,0.32947471329,1
24,0,0,model2,0.32989067194,1
25,0,0,model2,0.33030247101,1
26,0,0,model2,0.33071015208,1
27,0,0,model2,0.33111375635,1
28,0,0,model2,0.33151332457,1
29,0,0,model2,0.33190889712,1
30,0,0,model2,0.33230051393,1
31,0,0,model2,0.33268821458,1
32,0,0,model2,0.33307203822,1
33,0,0,model2,0.33345202363,1
34,0,0,model2,0.33382820918,1
35,0,0,model2,0.33420063287,1
36,0,0,model2,0.33456933233,1
37,0,0,model2,0.33493434479,1
38,0,0,model2,0.33529570713,1
39,0,0,model2,0.33565345585,1
40,0,0,model2,0.33600762708,1
0,0,0,model14,0.01,2
0,0,0,model2,0.33600762708,2
1,0,0,model14,0.0099,2
1,0,0,model2,0.46244255078,2
2,0,0,model14,0.009801,2
2,0,0,model2,0.74516801369,2
3,0,0,model14,0.00970299,2
3,0,0,model2,0.91814893384,2
4,0,0,model14,0.0096059601,2
4,0,0,model2,0.91235326561,2
5,0,0,model14,0.009509900499,2
5,0,0,model2,0.90661555407,2
6,0,0,model14,0.009414801494,2
6,0,0,model2,0.90093521965,2
7,0,0,model14,0.0093206534791,2
7,0,0,model2,0.89531168856,2
8,0,0,model14,0.0092274469443,2
8,0,0,model2,0.88974439279,2
9,0,0,model14,0.0091351724748,2
9,0,0,model2,0.88423276998,2
10,0,0,model14,0.0090438207501,2
10,0,0,model2,0.8787762634,2
11,0,0,model14,0.0089533825426,2
11,0,0,model2,0.87337432188,2
12,0,0,model14,0.0088638487172,2
12,0,0,model2,0.86802639977,2
13,0,0,model14,0.00877521023,2
13,0,0,model2,0.86273195689,2
14,0,0,model14,0.0086874581277,2
14,0,0,model2,0.85749045844,2
15,0,0,model14,0.0086005835464,2
15,0,0,model2,0.85230137497,2
16,0,0,model14,0.0085145777109,2
16,0,0,model2,0.84716418233,2
17,0,0,model14,0.0084294319338,2
17,0,0,model2,0.84207836162,2
18,0,0,model14,0.0083451376145,2
18,0,0,model2,0.83704339912,2
19,0,0,model14,0.0082616862384,2
19,0,0,model2,0.83205878625,2
20,0,0,model14,0.008179069376,2
20,0,0,model2,0.8271240195,2
21,0,0,model14,0.0080972786822,2
21,0,0,model2,0.82223860042,2
22,0,0,model14,0.0080163058954,2
22,0,0,model2,0.81740203553,2
23,0,0,model14,0.0079361428364,2
23,0,0,model2,0.81261383629,2
24,0,0,model14,0.0078567814081,2
24,0,0,model2,0.80787351904,2
25,0,0,model14,0.007778213594,2
25,0,0,model2,0.80318060497,2
26,0,0,model14,0.0077004314581,2
26,0,0,model2,0.79853462003,2
27,0,0,model14,0.0076234271435,2
27,0,0,model2,0.79393509495,2
28,0,0,model14,0.007547192872,2
28,0,0,model2,0.78938156511,2
29,0,0,model14,0.0074717209433,2
29,0,0,model2,0.78487357058,2
30,0,0,model14,0.0073970037339,2
30,0,0,model2,0.78041065599,2
31,0,0,model14,0.0073230336965,2
31,0,0,model2,0.77599237054,2
32,0,0,model14,0.0072498033596,2
32,0,0,model2,0.77161826795,2
33,0,0,model14,0.007177305326,2
33,0,0,model2,0.76728790639,2
34,0,0,model14,0.0071055322727,2
34,0,0,model2,0.76300084844,2
35,0,0,model14,0.00703447695,2
35,0,0,model2,0.75875666107,2
36,0,0,model14,0.0069641321805,2
36,0,0,model2,0.75455491557,2
37,0,0,model14,0.0068944908587,2
37,0,0,model2,0.75039518753,2
38,0,0,model14,0.0068255459501,2
38,0,0,model2,0.74627705677,2
39,0,0,model14,0.0067572904906,2
39,0,0,model2,0.74220010732,2
40,0,0,model14,0.0066897175857,2
40,0,0,model2,0.73816392736,2
0,0,0,model5,0.01,3
0,0,0,model2,0.73816392736,3
0,0,0,model14,0.0066897175857,3
1,0,0,model5,0.026248756357,3
1,0,0,model2,1.191629064,3
1,0,0,model14,0.0066228204098,3
2,0,0,model5,0.066164497141,3
2,0,0,model2,1.5177897374,3
2,0,0,model14,0.010792461758,3
3,0,0,model5,0.0682024645,3
3,0,0,model2,1.5053114524,3
3,0,0,model14,0.015662760975,3
4,0,0,model5,0.070220052185,3
4,0,0,model2,1.4929579502,3
4,0,0,model14,0.019586437727,3
5,0,0,model5,0.072217463994,3
5,0,0,model2,1.480727983,3
5,0,0,model14,0.022929553776,3
6,0,0,model5,0.074194901684,3
6,0,0,model2,1.4686203155,3
6,0,0,model14,0.028166533342,3
7,0,0,model5,0.076152564997,3
7,0,0,model2,1.4566337247,3
7,0,0,model14,0.033833009437,3
8,0,0,model5,0.078090651677,3
8,0,0,model2,1.4447669998,3
8,0,0,model14,0.039465822496,3
9,0,0,model5,0.080009357491,3
9,0,0,model2,1.4330189421,3
9,0,0,model14,0.045831775558,3
10,0,0,model5,0.081908876246,3
10,0,0,model2,1.421388365,3
10,0,0,model14,0.052778479677,3
11,0,0,model5,0.083789399814,3
11,0,0,model2,1.4098740937,3
11,0,0,model14,0.060447482684,3
12,0,0,model5,0.085651118146,3
12,0,0,model2,1.3984749651,3
12,0,0,model14,0.06853867851,3
13,0,0,model5,0.087494219295,3
13,0,0,model2,1.3871898278,3
13,0,0,model14,0.076852020883,3
14,0,0,model5,0.089318889432,3
14,0,0,model2,1.3760175418,3
14,0,0,model14,0.085348129338,3
15,0,0,model5,0.091125312868,3
15,0,0,model2,1.3649569787,3
15,0,0,model14,0.090851588558,3
16,0,0,model5,0.092913672069,3
16,0,0,model2,1.3540070213,3
16,0,0,model14,0.096197421734,3
17,0,0,model5,0.094684147679,3
17,0,0,model2,1.3431665634,3
17,0,0,model14,0.10167773346,3
18,0,0,model5,0.096436918532,3
18,0,0,model2,1.3324345101,3
18,0,0,model14,0.10814866181,3
