cycle,x,y,species,biomass,seq_num,timestep,species,biomass
25,0,0,model5,0.53074680413,2,65,model5,0.53074680413
26,0,0,model7,0.3264840143,2,66,model7,0.3264840143
26,0,0,model5,0.52543933609,2,66,model5,0.52543933609
27,0,0,model7,0.32321917415,2,67,model7,0.32321917415
27,0,0,model5,0.52018494273,2,67,model5,0.52018494273
28,0,0,model7,0.31998698241,2,68,model7,0.31998698241
28,0,0,model5,0.5149830933,2,68,model5,0.5149830933
29,0,0,model7,0.31678711259,2,69,model7,0.31678711259
29,0,0,model5,0.50983326237,2,69,model5,0.50983326237
30,0,0,model7,0.31361924146,2,70,model7,0.31361924146
30,0,0,model5,0.50473492974,2,70,model5,0.50473492974
31,0,0,model7,0.31048304905,2,71,model7,0.31048304905
31,0,0,model5,0.49968758045,2,71,model5,0.49968758045
32,0,0,model7,0.30737821856,2,72,model7,0.30737821856
32,0,0,model5,0.49469070464,2,72,model5,0.49469070464
33,0,0,model7,0.30430443637,2,73,model7,0.30430443637
33,0,0,model5,0.4897437976,2,73,model5,0.4897437976
34,0,0,model7,0.30126139201,2,74,model7,0.30126139201
34,0,0,model5,0.48484635962,2,74,model5,0.48484635962
35,0,0,model7,0.29824877809,2,75,model7,0.29824877809
35,0,0,model5,0.47999789602,2,75,model5,0.47999789602
36,0,0,model7,0.29526629031,2,76,model7,0.29526629031
36,0,0,model5,0.47519791706,2,76,model5,0.47519791706
37,0,0,model7,0.2923136274,2,77,model7,0.2923136274
37,0,0,model5,0.47044593789,2,77,model5,0.47044593789
38,0,0,model7,0.28939049113,2,78,model7,0.28939049113
38,0,0,model5,0.46574147851,2,78,model5,0.46574147851
39,0,0,model7,0.28649658622,2,79,model7,0.28649658622
39,0,0,model5,0.46108406373,2,79,model5,0.46108406373
40,0,0,model7,0.28363162036,2,80,model7,0.28363162036
40,0,0,model5,0.45647322309,2,80,model5,0.45647322309
0,0,0,model13,0.01,3,80,model13,0.01
0,0,0,model5,0.45647322309,3,80,model5,0.45647322309
0,0,0,model7,0.28363162036,3,80,model7,0.28363162036
1,0,0,model13,0.030114489203,3,81,model13,0.030114489203
1,0,0,model5,0.60542294702,3,81,model5,0.60542294702
1,0,0,model7,0.45240494989,3,81,model7,0.45240494989
2,0,0,model13,0.029819703562,3,82,model13,0.029819703562
2,0,0,model5,0.5993750768,3,82,model5,0.5993750768
2,0,0,model7,0.44789693847,3,82,model7,0.44789693847
3,0,0,model13,0.029527865776,3,83,model13,0.029527865776
3,0,0,model5,0.59338768529,3,83,model5,0.59338768529
3,0,0,model7,0.44343400717,3,83,model7,0.44343400717
4,0,0,model13,0.029238946369,3,84,model13,0.029238946369
4,0,0,model5,0.58746016768,3,84,model5,0.58746016768
4,0,0,model7,0.43901570519,3,84,model7,0.43901570519
5,0,0,model13,0.028952916156,3,85,model13,0.028952916156
5,0,0,model5,0.58159192526,3,85,model5,0.58159192526
5,0,0,model7,0.43464158622,3,85,model7,0.43464158622
6,0,0,model13,0.028669746245,3,86,model13,0.028669746245
6,0,0,model5,0.57577959746,3,86,model5,0.57577959746
6,0,0,model7,0.43031120844,3,86,model7,0.43031120844
7,0,0,model13,0.028389408033,3,87,model13,0.028389408033
7,0,0,model5,0.57002816073,3,87,model5,0.57002816073
7,0,0,model7,0.42602413444,3,87,model7,0.42602413444
