cycle,x,y,species,biomass,seq_num
0,0,0,model20,0.01,1
1,0,0,model20,0.026970768854,1
2,0,0,model20,0.072741511831,1
3,0,0,model20,0.1961818231,1
4,0,0,model20,0.25588942113,1
5,0,0,model20,0.2983584248,1
6,0,0,model20,0.31531586823,1
7,0,0,model20,0.32218851335,1
8,0,0,model20,0.32268088519,1
9,0,0,model20,0.32316833332,1
10,0,0,model20,0.32365090697,1
11,0,0,model20,0.32412865488,1
12,0,0,model20,0.32460162531,1
13,0,0,model20,0.32506986603,1
14,0,0,model20,0.32553342435,1
15,0,0,model20,0.3259921668,1
16,0,0,model20,0.32644295092,1
17,0,0,model20,0.3268892272,1
18,0,0,model20,0.32733104071,1
19,0,0,model20,0.32776843609,1
20,0,0,model20,0.32820145752,1
21,0,0,model20,0.32863014873,1
22,0,0,model20,0.32905455303,1
23,0,0,model20,0.32947471329,1
24,0,0,model20,0.32989067194,1
25,0,0,model20,0.33030247101,1
26,0,0,model20,0.33071015208,1
27,0,0,model20,0.33111375635,1
28,0,0,model20,0.33151332457,1
29,0,0,model20,0.33190889712,1
30,0,0,model20,0.33230051393,1
31,0,0,model20,0.33268821458,1
32,0,0,model20,0.33307203822,1
33,0,0,model20,0.33345202363,1
34,0,0,model20,0.33382820918,1
35,0,0,model20,0.33420063287,1
36,0,0,model20,0.33456933233,1
37,0,0,model20,0.33493434479,1
38,0,0,model20,0.33529570713,1
39,0,0,model20,0.33565345585,1
40,0,0,model20,0.33600762708,1
0,0,0,model2,0.01,2
0,0,0,model20,0.33600762708,2
1,0,0,model2,0.019354524047,2
1,0,0,model20,0.33264755081,2
2,0,0,model2,0.060368745807,2
2,0,0,model20,0.3293210753,2
3,0,0,model2,0.14722699721,2
3,0,0,model20,0.32602786455,2
4,0,0,model2,0.32419868378,2
4,0,0,model20,0.3227675859,2
5,0,0,model2,0.61496258534,2
5,0,0,model20,0.31953991004,2
6,0,0,model2,0.64453404985,2
6,0,0,model20,0.31634451094,2
7,0,0,model2,0.63810145837,2
7,0,0,model20,0.31318106583,2
8,0,0,model2,0.6317331928,2
8,0,0,model20,0.31004925518,2
9,0,0,model2,0.62542860988,2
9,0,0,model20,0.30694876262,2
10,0,0,model2,0.6191870728,2
10,0,0,model20,0.303879275,2
11,0,0,model2,0.61300795108,2
11,0,0,model20,0.30084048225,2
12,0,0,model2,0.60689062059,2
12,0,0,model20,0.29783207742,2
13,0,0,model2,0.6008344634,2
13,0,0,model20,0.29485375665,2
14,0,0,model2,0.59483886777,2
14,0,0,model20,0.29190521908,2
15,0,0,model2,0.58890322811,2
15,0,0,model20,0.28898616689,2
16,0,0,model2,0.58302694484,2
16,0,0,model20,0.28609630522,2
17,0,0,model2,0.57720942441,2
17,0,0,model20,0.28323534217,2
18,0,0,model2,0.57145007918,2
18,0,0,model20,0.28040298875,2
19,0,0,model2,0.5657483274,2
19,0,0,model20,0.27759895886,2
20,0,0,model2,0.56010359314,2
20,0,0,model20,0.27482296927,2
21,0,0,model2,0.55451530622,2
21,0,0,model20,0.27207473958,2
22,0,0,model2,0.54898290217,2
22,0,0,model20,0.26935399219,2
23,0,0,model2,0.54350582217,2
23,0,0,model20,0.26666045226,2
24,0,0,model2,0.53808351296,2
24,0,0,model20,0.26399384774,2
25,0,0,model2,0.53271542684,2
25,0,0,model20,0.26135390926,2
26,0,0,model2,0.52740102159,2
26,0,0,model20,0.25874037017,2
