cycle,x,y,species,biomass,seq_num
0,0,0,model2,0.01,1
1,0,0,model2,0.026970768854,1
2,0,0,model2,0.072741511831,1
3,0,0,model2,0.1961818231,1
4,0,0,model2,0.25588942113,1
5,0,0,model2,0.2983584248,1
6,0,0,model2,0.31531586823,1
7,0,0,model2,0.32218851335,1
8,0,0,model2,0.32268088519,1
9,0,0,model2,0.32316833332,1
10,0,0,model2,0.32365090697,1
11,0,0,model2,0.32412865488,1
12,0,0,model2,0.32460162531,1
13,0,0,model2,0.32506986603,1
14,0,0,model2,0.32553342435,1
15,0,0,model2,0.3259921668,1
16,0,0,model2,0.32644295092,1
17,0,0,model2,0.3268892272,1
18,0,0,model2,0.32733104071,1
19,0,0,model2,0.32776843609,1
20,0,0,model2,0.32820145752,1
21,0,0,model2,0.32863014873,1
22,0,0,model2,0.32905455303,1
23,0,0,model2,0.32947471329,1
24,0,0,model2,0.32989067194,1
25,0,0,model2,0.33030247101,1
26,0,0,model2,0.33071015208,1
27,0,0,model2,0.33111375635,1
28,0,0,model2,0.33151332457,1
29,0,0,model2,0.33190889712,1
30,0,0,model2,0.33230051393,1
31,0,0,model2,0.33268821458,1
32,0,0,model2,0.33307203822,1
33,0,0,model2,0.33345202363,1
34,0,0,model2,0.33382820918,1
35,0,0,model2,0.33420063287,1
36,0,0,model2,0.33456933233,1
37,0,0,model2,0.33493434479,1
38,0,0,model2,0.33529570713,1
39,0,0,model2,0.33565345585,1
40,0,0,model2,0.33600762708,1
0,0,0,model1,0.01,2
0,0,0,model2,0.33600762708,2
1,0,0,model1,0.014693761718,2
1,0,0,model2,0.46267824817,2
2,0,0,model1,0.022927642208,2
2,0,0,model2,0.74690759708,2
3,0,0,model1,0.022871814289,2
3,0,0,model2,0.75342075577,2
4,0,0,model1,0.022878826124,2
4,0,0,model2,0.74596834415,2
5,0,0,model1,0.023025996314,2
5,0,0,model2,0.73850866071,2
6,0,0,model1,0.023050130334,2
6,0,0,model2,0.7311235741,2
7,0,0,model1,0.023120029269,2
7,0,0,model2,0.72381233836,2
8,0,0,model1,0.023209738964,2
8,0,0,model2,0.71657421497,2
9,0,0,model1,0.023231624842,2
9,0,0,model2,0.74295655209,2
10,0,0,model1,0.023172757097,2
10,0,0,model2,0.73698971475,2
11,0,0,model1,0.023201103652,2
11,0,0,model2,0.7296198176,2
12,0,0,model1,0.023266835549,2
12,0,0,model2,0.72232361942,2
13,0,0,model1,0.023353774712,2
13,0,0,model2,0.71510038323,2
14,0,0,model1,0.023373403795,2
14,0,0,model2,0.74175874501,2
15,0,0,model1,0.02331311826,2
15,0,0,model2,0.73580206999,2
16,0,0,model1,0.023340061672,2
16,0,0,model2,0.72844404929,2
17,0,0,model1,0.023404403769,2
17,0,0,model2,0.7211596088,2
18,0,0,model1,0.023489967143,2
18,0,0,model2,0.71394801271,2
19,0,0,model1,0.023508234235,2
19,0,0,model2,0.73163958725,2
20,0,0,model1,0.023446600396,2
20,0,0,model2,0.72569437922,2
21,0,0,model1,0.023472208986,2
21,0,0,model2,0.71843743543,2
22,0,0,model1,0.023535229611,2
22,0,0,model2,0.71125306107,2
23,0,0,model1,0.023619484726,2
23,0,0,model2,0.70414053046,2
24,0,0,model1,0.0237140516,2
24,0,0,model2,0.69709912516,2
25,0,0,model1,0.023737267631,2
25,0,0,model2,0.70900904074,2
26,0,0,model1,0.023703454272,2
26,0,0,model2,0.70216322024,2
27,0,0,model1,0.023639868232,2
27,0,0,model2,0.69684927697,2
28,0,0,model1,0.023660644051,2
28,0,0,model2,0.68994129655,2
29,0,0,model1,0.023693857803,2
29,0,0,model2,0.68304188359,2
30,0,0,model1,0.023763521535,2
30,0,0,model2,0.67621146475,2
31,0,0,model1,0.023849893291,2
31,0,0,model2,0.6694493501,2
32,0,0,model1,0.023944521481,2
32,0,0,model2,0.6627548566,2
33,0,0,model1,0.024043236699,2
33,0,0,model2,0.65612730803,2
34,0,0,model1,0.024143817847,2
34,0,0,model2,0.64956603495,2
35,0,0,model1,0.024245034244,2
35,0,0,model2,0.6430703746,2
36,0,0,model1,0.024346190212,2
36,0,0,model2,0.63663967086,2
37,0,0,model1,0.024446889194,2
37,0,0,model2,0.63027327415,2
38,0,0,model1,0.024546905222,2
38,0,0,model2,0.62397054141,2
39,0,0,model1,0.024646110725,2
39,0,0,model2,0.61773083599,2
40,0,0,model1,0.024744435256,2
40,0,0,model2,0.61155352763,2
0,0,0,model7,0.01,3
0,0,0,model2,0.61155352763,3
0,0,0,model1,0.024744435256,3
1,0,0,model7,0.010837452584,3
1,0,0,model2,1.3050803994,3
1,0,0,model1,0.024677028649,3
2,0,0,model7,0.035349554826,3
2,0,0,model2,1.5659556555,3
2,0,0,model1,0.031907067438,3
3,0,0,model7,0.096412348796,3
3,0,0,model2,1.6056474631,3
3,0,0,model1,0.039082599676,3
4,0,0,model7,0.1843821381,3
4,0,0,model2,1.619819465,3
4,0,0,model1,0.046901550052,3
5,0,0,model7,0.31686763772,3
5,0,0,model2,1.6387330048,3
5,0,0,model1,0.054454678421,3
6,0,0,model7,0.43913269486,3
6,0,0,model2,1.6502372039,3
6,0,0,model1,0.061011361225,3
7,0,0,model7,0.58029786542,3
7,0,0,model2,1.655436097,3
7,0,0,model1,0.067254893376,3
8,0,0,model7,0.74023775763,3
8,0,0,model2,1.6600184507,3
8,0,0,model1,0.073207452165,3
9,0,0,model7,0.80285298709,3
9,0,0,model2,1.6723018423,3
9,0,0,model1,0.078010119848,3
10,0,0,model7,0.8586780556,3
10,0,0,model2,1.6774402108,3
10,0,0,model1,0.08198260339,3
11,0,0,model7,0.91470491197,3
11,0,0,model2,1.6825065892,3
11,0,0,model1,0.085803725237,3
12,0,0,model7,0.97451358156,3
12,0,0,model2,1.6875149403,3
12,0,0,model1,0.089586635865,3
13,0,0,model7,1.0378213925,3
13,0,0,model2,1.6919936019,3
13,0,0,model1,0.093308537679,3
14,0,0,model7,1.1032371747,3
14,0,0,model2,1.6966762747,3
14,0,0,model1,0.096795689847,3
15,0,0,model7,1.1723164723,3
15,0,0,model2,1.7012737067,3
15,0,0,model1,0.099865517388,3
16,0,0,model7,1.2562264206,3
16,0,0,model2,1.7057245773,3
16,0,0,model1,0.1029087582,3
17,0,0,model7,1.3331459128,3
17,0,0,model2,1.7095449269,3
17,0,0,model1,0.10590446517,3
18,0,0,model7,1.4134614968,3
18,0,0,model2,1.7141309145,3
18,0,0,model1,0.10884112243,3
19,0,0,model7,1.4982593222,3
