cycle,x,y,species,biomass,seq_num
0,0,0,model4,0.01,1
1,0,0,model4,0.026970768854,1
2,0,0,model4,0.072741511831,1
3,0,0,model4,0.1961818231,1
4,0,0,model4,0.25588942113,1
5,0,0,model4,0.2983584248,1
6,0,0,model4,0.31531586823,1
7,0,0,model4,0.32218851335,1
8,0,0,model4,0.32268088519,1
9,0,0,model4,0.32316833332,1
10,0,0,model4,0.32365090697,1
11,0,0,model4,0.32412865488,1
12,0,0,model4,0.32460162531,1
13,0,0,model4,0.32506986603,1
14,0,0,model4,0.32553342435,1
15,0,0,model4,0.3259921668,1
16,0,0,model4,0.32644295092,1
17,0,0,model4,0.3268892272,1
18,0,0,model4,0.32733104071,1
19,0,0,model4,0.32776843609,1
20,0,0,model4,0.32820145752,1
21,0,0,model4,0.32863014873,1
22,0,0,model4,0.32905455303,1
23,0,0,model4,0.32947471329,1
24,0,0,model4,0.32989067194,1
25,0,0,model4,0.33030247101,1
26,0,0,model4,0.33071015208,1
27,0,0,model4,0.33111375635,1
28,0,0,model4,0.33151332457,1
29,0,0,model4,0.33190889712,1
30,0,0,model4,0.33230051393,1
31,0,0,model4,0.33268821458,1
32,0,0,model4,0.33307203822,1
33,0,0,model4,0.33345202363,1
34,0,0,model4,0.33382820918,1
35,0,0,model4,0.33420063287,1
36,0,0,model4,0.33456933233,1
37,0,0,model4,0.33493434479,1
38,0,0,model4,0.33529570713,1
39,0,0,model4,0.33565345585,1
40,0,0,model4,0.33600762708,1
0,0,0,model7,0.01,2
0,0,0,model4,0.33600762708,2
1,0,0,model7,0.028641467807,2
1,0,0,model4,0.33264755081,2
2,0,0,model7,0.064170007952,2
2,0,0,model4,0.57371284672,2
3,0,0,model7,0.06799608057,2
3,0,0,model4,0.74186043291,2
4,0,0,model7,0.071783892461,2
4,0,0,model4,0.78768430569,2
5,0,0,model7,0.075533826234,2
5,0,0,model4,1.2723094798,2
6,0,0,model7,0.079246260668,2
6,0,0,model4,1.6268308883,2
7,0,0,model7,0.082921570759,2
7,0,0,model4,2.1579486291,2
8,0,0,model7,0.086560127748,2
8,0,0,model4,2.4948453329,2
9,0,0,model7,0.090162299168,2
9,0,0,model4,2.6376160114,2
10,0,0,model7,0.093728448873,2
10,0,0,model4,2.6970435909,2
11,0,0,model7,0.097258937082,2
11,0,0,model4,2.7578471404,2
12,0,0,model7,0.10075412041,2
12,0,0,model4,2.8673686484,2
13,0,0,model7,0.1042143519,2
13,0,0,model4,2.9384055689,2
14,0,0,model7,0.10763998108,2
14,0,0,model4,3.065361207,2
15,0,0,model7,0.11103135397,2
15,0,0,model4,3.1458650743,2
16,0,0,model7,0.11438881312,2
16,0,0,model4,3.1759462707,2
17,0,0,model7,0.11771269769,2
17,0,0,model4,3.1642765856,2
18,0,0,model7,0.12100334341,2
18,0,0,model4,3.1527235974,2
19,0,0,model7,0.12426108267,2
19,0,0,model4,3.1412861391,2
20,0,0,model7,0.12748624454,2
20,0,0,model4,3.1299630553,2
21,0,0,model7,0.13067915479,2
21,0,0,model4,3.1187532024,2
22,0,0,model7,0.13384013594,2
22,0,0,model4,3.107655448,2
23,0,0,model7,0.13696950728,2
23,0,0,model4,3.0966686712,2
24,0,0,model7,0.1445353576,2
24,0,0,model4,3.0857917621,2
25,0,0,model7,0.15192615037,2
25,0,0,model4,3.0706005599,2
26,0,0,model7,0.15487466156,2
26,0,0,model4,3.0556596739,2
27,0,0,model7,0.16226146034,2
27,0,0,model4,3.0451928548,2
28,0,0,model7,0.19323288861,2
28,0,0,model4,3.022574284,2
29,0,0,model7,0.19929132,2
29,0,0,model4,2.9923485411,2
30,0,0,model7,0.2017661795,2
30,0,0,model4,2.9790271014,2
31,0,0,model7,0.2042162904,2
31,0,0,model4,2.9693266081,2
32,0,0,model7,0.20664190019,2
32,0,0,model4,2.9597231196,2
33,0,0,model7,0.20904325389,2
33,0,0,model4,2.9502156661,2
34,0,0,model7,0.21142059405,2
34,0,0,model4,2.940803287,2
35,0,0,model7,0.2137741608,2
35,0,0,model4,2.9314850318,2
36,0,0,model7,0.22057196459,2
36,0,0,model4,2.9222599591,2
37,0,0,model7,0.23375462789,2
37,0,0,model4,2.9087040749,2
38,0,0,model7,0.2425172541,2
38,0,0,model4,2.8888954875,2
39,0,0,model7,0.24785060562,2
39,0,0,model4,2.873530283,2
40,0,0,model7,0.25119396909,2
40,0,0,model4,2.861626938,2
0,0,0,model16,0.01,3
0,0,0,model4,2.861626938,3
0,0,0,model7,0.25119396909,3
1,0,0,model16,0.011722087127,3
1,0,0,model4,2.8517599003,3
1,0,0,model7,0.2534471038,3
2,0,0,model16,0.011604866256,3
2,0,0,model4,2.8430377542,3
2,0,0,model7,0.25091263276,3
3,0,0,model16,0.011488817594,3
3,0,0,model4,2.8378716117,3
3,0,0,model7,0.24840350644,3
4,0,0,model16,0.011373929418,3
4,0,0,model4,2.8327571307,3
4,0,0,model7,0.24591947137,3
5,0,0,model16,0.011260190123,3
5,0,0,model4,2.8276937945,3
5,0,0,model7,0.24346027666,3
6,0,0,model16,0.011147588222,3
6,0,0,model4,2.8226810916,3
6,0,0,model7,0.24102567389,3
7,0,0,model16,0.01103611234,3
7,0,0,model4,2.8177185158,3
7,0,0,model7,0.23861541715,3
8,0,0,model16,0.010925751217,3
8,0,0,model4,2.8128055657,3
