cycle,x,y,species,biomass,seq_num
0,0,0,model4,0.01,1
1,0,0,model4,0.026970768854,1
2,0,0,model4,0.072741511831,1
3,0,0,model4,0.1961818231,1
4,0,0,model4,0.25588942113,1
5,0,0,model4,0.2983584248,1
6,0,0,model4,0.31531586823,1
7,0,0,model4,0.32218851335,1
8,0,0,model4,0.32268088519,1
9,0,0,model4,0.32316833332,1
10,0,0,model4,0.32365090697,1
11,0,0,model4,0.32412865488,1
12,0,0,model4,0.32460162531,1
13,0,0,model4,0.32506986603,1
14,0,0,model4,0.32553342435,1
15,0,0,model4,0.3259921668,1
16,0,0,model4,0.32644295092,1
17,0,0,model4,0.3268892272,1
18,0,0,model4,0.32733104071,1
19,0,0,model4,0.32776843609,1
20,0,0,model4,0.32820145752,1
21,0,0,model4,0.32863014873,1
22,0,0,model4,0.32905455303,1
23,0,0,model4,0.32947471329,1
24,0,0,model4,0.32989067194,1
25,0,0,model4,0.33030247101,1
26,0,0,model4,0.33071015208,1
27,0,0,model4,0.33111375635,1
28,0,0,model4,0.33151332457,1
29,0,0,model4,0.33190889712,1
30,0,0,model4,0.33230051393,1
31,0,0,model4,0.33268821458,1
32,0,0,model4,0.33307203822,1
33,0,0,model4,0.33345202363,1
34,0,0,model4,0.33382820918,1
35,0,0,model4,0.33420063287,1
36,0,0,model4,0.33456933233,1
37,0,0,model4,0.33493434479,1
38,0,0,model4,0.33529570713,1
39,0,0,model4,0.33565345585,1
40,0,0,model4,0.33600762708,1
0,0,0,model8,0.01,2
0,0,0,model4,0.33600762708,2
1,0,0,model8,0.0099,2
1,0,0,model4,0.33264755081,2
2,0,0,model8,0.032066470519,2
2,0,0,model4,0.49766943446,2
3,0,0,model8,0.03523068765,2
3,0,0,model4,0.49269363451,2
4,0,0,model8,0.03836326261,2
4,0,0,model4,0.48776762603,2
5,0,0,model8,0.041464511819,2
5,0,0,model4,0.4828916246,2
6,0,0,model8,0.044534748537,2
6,0,0,model4,0.5187901647,2
7,0,0,model8,0.047574282888,2
7,0,0,model4,0.51360315746,2
8,0,0,model8,0.050583421895,2
8,0,0,model4,0.50846795658,2
9,0,0,model8,0.053562469512,2
9,0,0,model4,0.50338417142,2
10,0,0,model8,0.056511726653,2
10,0,0,model4,0.49835121644,2
11,0,0,model8,0.059431491222,2
11,0,0,model4,0.49336858349,2
12,0,0,model8,0.062322058146,2
12,0,0,model4,0.4884357844,2
13,0,0,model8,0.0651837194,2
13,0,0,model4,0.48355225725,2
14,0,0,model8,0.068016764042,2
14,0,0,model4,0.4787184095,2
15,0,0,model8,0.072359986452,2
15,0,0,model4,0.48085559707,2
16,0,0,model8,0.078605491809,2
16,0,0,model4,0.47604872958,2
17,0,0,model8,0.081304318727,2
17,0,0,model4,0.47211231997,2
18,0,0,model8,0.083976157376,2
18,0,0,model4,0.46739203758,2
19,0,0,model8,0.086621277638,2
19,0,0,model4,0.46271896145,2
20,0,0,model8,0.089239946697,2
20,0,0,model4,0.45809259591,2
21,0,0,model8,0.091832429066,2
21,0,0,model4,0.45351250065,2
22,0,0,model8,0.094398986612,2
22,0,0,model4,0.44897821988,2
23,0,0,model8,0.096939878582,2
23,0,0,model4,0.44448926838,2
24,0,0,model8,0.099455361632,2
24,0,0,model4,0.44004519978,2
25,0,0,model8,0.10194568985,2
25,0,0,model4,0.43564557186,2
26,0,0,model8,0.10441111479,2
26,0,0,model4,0.43128996038,2
27,0,0,model8,0.10685188548,2
27,0,0,model4,0.42697790502,2
28,0,0,model8,0.10926824846,2
28,0,0,model4,0.42270897021,2
29,0,0,model8,0.11166044781,2
29,0,0,model4,0.41848356899,2
30,0,0,model8,0.11402872517,2
30,0,0,model4,0.42122310497,2
31,0,0,model8,0.11637331975,2
31,0,0,model4,0.42393524558,2
32,0,0,model8,0.11869446839,2
32,0,0,model4,0.42315807895,2
33,0,0,model8,0.12099240554,2
33,0,0,model4,0.41892732886,2
34,0,0,model8,0.12326736332,2
34,0,0,model4,0.41473888626,2
35,0,0,model8,0.12551957153,2
35,0,0,model4,0.41059233481,2
36,0,0,model8,0.12774925765,2
36,0,0,model4,0.40648724216,2
37,0,0,model8,0.12995664691,2
37,0,0,model4,0.40242321398,2
38,0,0,model8,0.13214196227,2
38,0,0,model4,0.39839981925,2
39,0,0,model8,0.13430542449,2
39,0,0,model4,0.3944166653,2
40,0,0,model8,0.13644725208,2
40,0,0,model4,0.39047334289,2
0,0,0,model16,0.01,3
0,0,0,model4,0.39047334289,3
0,0,0,model8,0.13644725208,3
1,0,0,model16,0.009900789511,3
1,0,0,model4,0.38657028429,3
1,0,0,model8,0.13856750744,3
2,0,0,model16,0.011113398211,3
2,0,0,model4,0.38551031058,3
2,0,0,model8,0.13857158123,3
3,0,0,model16,0.011002264229,3
3,0,0,model4,0.38165520747,3
3,0,0,model8,0.13719325079,3
4,0,0,model16,0.010892241587,3
4,0,0,model4,0.3778386554,3
4,0,0,model8,0.13582870365,3
5,0,0,model16,0.010783319171,3
5,0,0,model4,0.37406026885,3
5,0,0,model8,0.13447780198,3
6,0,0,model16,0.010675485979,3
6,0,0,model4,0.37031966616,3
6,0,0,model8,0.13314040933,3
7,0,0,model16,0.01056873112,3
7,0,0,model4,0.3666164695,3
7,0,0,model8,0.13181639061,3
8,0,0,model16,0.010463043808,3
8,0,0,model4,0.3629503048,3
