cycle,x,y,species,biomass,seq_num
0,0,0,model1,0.01,1
1,0,0,model1,0.026970768854,1
2,0,0,model1,0.072741511831,1
3,0,0,model1,0.1961818231,1
4,0,0,model1,0.25588942113,1
5,0,0,model1,0.2983584248,1
6,0,0,model1,0.31531586823,1
7,0,0,model1,0.32218851335,1
8,0,0,model1,0.32268088519,1
9,0,0,model1,0.32316833332,1
10,0,0,model1,0.32365090697,1
11,0,0,model1,0.32412865488,1
12,0,0,model1,0.32460162531,1
13,0,0,model1,0.32506986603,1
14,0,0,model1,0.32553342435,1
15,0,0,model1,0.3259921668,1
16,0,0,model1,0.32644295092,1
17,0,0,model1,0.3268892272,1
18,0,0,model1,0.32733104071,1
19,0,0,model1,0.32776843609,1
20,0,0,model1,0.32820145752,1
21,0,0,model1,0.32863014873,1
22,0,0,model1,0.32905455303,1
23,0,0,model1,0.32947471329,1
24,0,0,model1,0.32989067194,1
25,0,0,model1,0.33030247101,1
26,0,0,model1,0.33071015208,1
27,0,0,model1,0.33111375635,1
28,0,0,model1,0.33151332457,1
29,0,0,model1,0.33190889712,1
30,0,0,model1,0.33230051393,1
31,0,0,model1,0.33268821458,1
32,0,0,model1,0.33307203822,1
33,0,0,model1,0.33345202363,1
34,0,0,model1,0.33382820918,1
35,0,0,model1,0.33420063287,1
36,0,0,model1,0.33456933233,1
37,0,0,model1,0.33493434479,1
38,0,0,model1,0.33529570713,1
39,0,0,model1,0.33565345585,1
40,0,0,model1,0.33600762708,1
0,0,0,model13,0.01,2
0,0,0,model1,0.33600762708,2
1,0,0,model13,0.030216650957,2
1,0,0,model1,0.33744131253,2
2,0,0,model13,0.076319990486,2
2,0,0,model1,0.33411483702,2
3,0,0,model13,0.13697031147,2
3,0,0,model1,0.33082162627,2
4,0,0,model13,0.20691450996,2
4,0,0,model1,0.32756134762,2
5,0,0,model13,0.30729665189,2
5,0,0,model1,0.32433367176,2
6,0,0,model13,0.32929360424,2
6,0,0,model1,0.32113827266,2
7,0,0,model13,0.32953869492,2
7,0,0,model1,0.31797482755,2
8,0,0,model13,0.32841538702,2
8,0,0,model1,0.31484301689,2
9,0,0,model13,0.32819838604,2
9,0,0,model1,0.31174252434,2
10,0,0,model13,0.32946149043,2
10,0,0,model1,0.30867303672,2
11,0,0,model13,0.32938208042,2
11,0,0,model1,0.30563424397,2
12,0,0,model13,0.32930346451,2
12,0,0,model1,0.30262583914,2
13,0,0,model13,0.32922563476,2
13,0,0,model1,0.29964751837,2
14,0,0,model13,0.3291485833,2
14,0,0,model1,0.2966989808,2
15,0,0,model13,0.32907230236,2
15,0,0,model1,0.29377992861,2
16,0,0,model13,0.32899678423,2
16,0,0,model1,0.29089006694,2
17,0,0,model13,0.32892202128,2
17,0,0,model1,0.28802910389,2
18,0,0,model13,0.32884800596,2
18,0,0,model1,0.28519675047,2
19,0,0,model13,0.32877473079,2
19,0,0,model1,0.28239272058,2
20,0,0,model13,0.32870218838,2
20,0,0,model1,0.27961673099,2
21,0,0,model13,0.32863037139,2
21,0,0,model1,0.2768685013,2
22,0,0,model13,0.32855927257,2
22,0,0,model1,0.2741477539,2
23,0,0,model13,0.32848888473,2
23,0,0,model1,0.27145421398,2
24,0,0,model13,0.32841920078,2
24,0,0,model1,0.26878760946,2
25,0,0,model13,0.32787939982,2
25,0,0,model1,0.26614767098,2
26,0,0,model13,0.3275334783,2
26,0,0,model1,0.26353413189,2
27,0,0,model13,0.32719993084,2
27,0,0,model1,0.26094672819,2
28,0,0,model13,0.32687011396,2
28,0,0,model1,0.25838519852,2
29,0,0,model13,0.32654361271,2
29,0,0,model1,0.25584928415,2
30,0,0,model13,0.32622037724,2
30,0,0,model1,0.25333872893,2
31,0,0,model13,0.32590037416,2
31,0,0,model1,0.25085327926,2
32,0,0,model13,0.32558357112,2
32,0,0,model1,0.24839268408,2
33,0,0,model13,0.3252699361,2
33,0,0,model1,0.24595669486,2
34,0,0,model13,0.32495943743,2
34,0,0,model1,0.24354506553,2
35,0,0,model13,0.32465204376,2
35,0,0,model1,0.24115755249,2
36,0,0,model13,0.32434772401,2
36,0,0,model1,0.23879391458,2
37,0,0,model13,0.32404644747,2
37,0,0,model1,0.23645391305,2
38,0,0,model13,0.32374818369,2
38,0,0,model1,0.23413731154,2
39,0,0,model13,0.32345290255,2
39,0,0,model1,0.23184387604,2
40,0,0,model13,0.32316057422,2
40,0,0,model1,0.2295733749,2
0,0,0,model10,0.01,3
0,0,0,model1,0.2295733749,3
0,0,0,model13,0.32316057422,3
1,0,0,model10,0.026819401622,3
1,0,0,model1,0.22730959956,3
1,0,0,model13,0.39836688047,3
2,0,0,model10,0.047712430153,3
2,0,0,model1,0.22503650357,3
2,0,0,model13,0.47229948771,3
3,0,0,model10,0.067020367609,3
3,0,0,model1,0.22278613853,3
3,0,0,model13,0.49278131774,3
4,0,0,model10,0.088496590761,3
4,0,0,model1,0.22055827715,3
4,0,0,model13,0.50444617043,3
5,0,0,model10,0.10950189307,3
5,0,0,model1,0.21835269437,3
