cycle,x,y,species,biomass,seq_num
0,0,0,model15,0.01,1
1,0,0,model15,0.026970768854,1
2,0,0,model15,0.072741511831,1
3,0,0,model15,0.1961818231,1
4,0,0,model15,0.25588942113,1
5,0,0,model15,0.2983584248,1
6,0,0,model15,0.31531586823,1
7,0,0,model15,0.32218851335,1
8,0,0,model15,0.32268088519,1
9,0,0,model15,0.32316833332,1
10,0,0,model15,0.32365090697,1
11,0,0,model15,0.32412865488,1
12,0,0,model15,0.32460162531,1
13,0,0,model15,0.32506986603,1
14,0,0,model15,0.32553342435,1
15,0,0,model15,0.3259921668,1
16,0,0,model15,0.32644295092,1
17,0,0,model15,0.3268892272,1
18,0,0,model15,0.32733104071,1
19,0,0,model15,0.32776843609,1
20,0,0,model15,0.32820145752,1
21,0,0,model15,0.32863014873,1
22,0,0,model15,0.32905455303,1
23,0,0,model15,0.32947471329,1
24,0,0,model15,0.32989067194,1
25,0,0,model15,0.33030247101,1
26,0,0,model15,0.33071015208,1
27,0,0,model15,0.33111375635,1
28,0,0,model15,0.33151332457,1
29,0,0,model15,0.33190889712,1
30,0,0,model15,0.33230051393,1
31,0,0,model15,0.33268821458,1
32,0,0,model15,0.33307203822,1
33,0,0,model15,0.33345202363,1
34,0,0,model15,0.33382820918,1
35,0,0,model15,0.33420063287,1
36,0,0,model15,0.33456933233,1
37,0,0,model15,0.33493434479,1
38,0,0,model15,0.33529570713,1
39,0,0,model15,0.33565345585,1
40,0,0,model15,0.33600762708,1
0,0,0,model6,0.01,2
0,0,0,model15,0.33600762708,2
1,0,0,model6,0.018558987266,2
1,0,0,model15,0.3356088327,2
2,0,0,model6,0.049652269271,2
2,0,0,model15,0.35594868308,2
3,0,0,model6,0.076619556173,2
3,0,0,model15,0.37712311918,2
4,0,0,model6,0.076344915528,2
4,0,0,model15,0.3738434429,2
5,0,0,model6,0.075581466372,2
5,0,0,model15,0.37010500847,2
6,0,0,model6,0.074825651709,2
6,0,0,model15,0.36640395839,2
7,0,0,model6,0.074077395192,2
7,0,0,model15,0.36273991881,2
8,0,0,model6,0.07333662124,2
8,0,0,model15,0.35911251962,2
9,0,0,model6,0.072603255027,2
9,0,0,model15,0.35552139442,2
10,0,0,model6,0.071877222477,2
10,0,0,model15,0.35196618048,2
11,0,0,model6,0.071158450252,2
11,0,0,model15,0.34844651867,2
12,0,0,model6,0.07044686575,2
12,0,0,model15,0.34496205349,2
13,0,0,model6,0.069742397092,2
13,0,0,model15,0.34151243295,2
14,0,0,model6,0.069044973121,2
14,0,0,model15,0.33809730862,2
15,0,0,model6,0.06835452339,2
15,0,0,model15,0.33471633554,2
16,0,0,model6,0.067670978156,2
16,0,0,model15,0.33136917218,2
17,0,0,model6,0.066994268375,2
17,0,0,model15,0.32805548046,2
18,0,0,model6,0.066324325691,2
18,0,0,model15,0.32477492565,2
19,0,0,model6,0.065661082434,2
19,0,0,model15,0.3215271764,2
20,0,0,model6,0.06500447161,2
20,0,0,model15,0.31831190463,2
21,0,0,model6,0.064354426894,2
21,0,0,model15,0.31512878559,2
22,0,0,model6,0.063710882625,2
22,0,0,model15,0.31197749773,2
23,0,0,model6,0.063073773798,2
23,0,0,model15,0.30885772275,2
24,0,0,model6,0.062443036061,2
24,0,0,model15,0.30576914553,2
25,0,0,model6,0.0618186057,2
25,0,0,model15,0.30271145407,2
26,0,0,model6,0.061200419643,2
26,0,0,model15,0.29968433953,2
27,0,0,model6,0.060588415446,2
27,0,0,model15,0.29668749613,2
28,0,0,model6,0.059982531292,2
28,0,0,model15,0.29372062117,2
29,0,0,model6,0.059382705979,2
29,0,0,model15,0.29078341496,2
30,0,0,model6,0.058788878919,2
30,0,0,model15,0.28787558081,2
31,0,0,model6,0.05820099013,2
31,0,0,model15,0.284996825,2
32,0,0,model6,0.057618980229,2
32,0,0,model15,0.28214685675,2
33,0,0,model6,0.057042790427,2
33,0,0,model15,0.27932538819,2
34,0,0,model6,0.056472362522,2
34,0,0,model15,0.2765321343,2
35,0,0,model6,0.055907638897,2
35,0,0,model15,0.27376681296,2
36,0,0,model6,0.055348562508,2
36,0,0,model15,0.27102914483,2
37,0,0,model6,0.054795076883,2
37,0,0,model15,0.26831885338,2
38,0,0,model6,0.054247126114,2
38,0,0,model15,0.26563566485,2
39,0,0,model6,0.053704654853,2
39,0,0,model15,0.2629793082,2
40,0,0,model6,0.053167608304,2
40,0,0,model15,0.26034951512,2
0,0,0,model14,0.01,3
0,0,0,model15,0.26034951512,3
0,0,0,model6,0.053167608304,3
1,0,0,model14,0.0099,3
1,0,0,model15,0.32564269262,3
1,0,0,model6,0.14339712741,3
2,0,0,model14,0.014086188863,3
2,0,0,model15,0.37107537836,3
2,0,0,model6,0.27456106687,3
3,0,0,model14,0.019346612721,3
3,0,0,model15,0.37727653795,3
3,0,0,model6,0.28172736957,3
4,0,0,model14,0.025946433894,3
4,0,0,model15,0.38282435956,3
4,0,0,model6,0.28823068287,3
5,0,0,model14,0.033380896015,3
5,0,0,model15,0.38831670296,3
5,0,0,model6,0.29466896303,3
6,0,0,model14,0.040493785659,3
6,0,0,model15,0.39375412292,3
6,0,0,model6,0.30104286039,3
7,0,0,model14,0.048753469503,3
7,0,0,model15,0.39913716868,3
7,0,0,model6,0.30735301878,3
8,0,0,model14,0.05853901527,3
8,0,0,model15,0.40446638399,3
8,0,0,model6,0.31360007559,3
9,0,0,model14,0.069989319238,3
9,0,0,model15,0.40974230714,3
9,0,0,model6,0.31978466182,3
10,0,0,model14,0.083337232244,3
10,0,0,model15,0.41496547106,3
10,0,0,model6,0.3259074022,3
11,0,0,model14,0.097692701954,3
11,0,0,model15,0.42013640335,3
11,0,0,model6,0.33196891517,3
12,0,0,model14,0.10980197764,3
12,0,0,model15,0.42525562631,3
12,0,0,model6,0.33796981301,3
13,0,0,model14,0.116333266,3
13,0,0,model15,0.43032365704,3
13,0,0,model6,0.34391070187,3
14,0,0,model14,0.12318693338,3
14,0,0,model15,0.43534100746,3
14,0,0,model6,0.34979218185,3
15,0,0,model14,0.12921366441,3
15,0,0,model15,0.44030818438,3
15,0,0,model6,0.35561484702,3
16,0,0,model14,0.13488775285,3
16,0,0,model15,0.44522568953,3
16,0,0,model6,0.36137928554,3
17,0,0,model14,0.14072042059,3
17,0,0,model15,0.45009401962,3
17,0,0,model6,0.36708607968,3
18,0,0,model14,0.14664125503,3
18,0,0,model15,0.45491366642,3
18,0,0,model6,0.37273580588,3
19,0,0,model14,0.15271565387,3
19,0,0,model15,0.45968511675,3
19,0,0,model6,0.37832903481,3
20,0,0,model14,0.15891106519,3
20,0,0,model15,0.46440885257,3
20,0,0,model6,0.38386633146,3
21,0,0,model14,0.16531461934,3
21,0,0,model15,0.46908535104,3
21,0,0,model6,0.38934825513,3
22,0,0,model14,0.17184017798,3
22,0,0,model15,0.47371508452,3
22,0,0,model6,0.39477535957,3
23,0,0,model14,0.17857429729,3
23,0,0,model15,0.47829852067,3
23,0,0,model6,0.40014819297,3
24,0,0,model14,0.18543616444,3
24,0,0,model15,0.48283612246,3
24,0,0,model6,0.40546729803,3
25,0,0,model14,0.19251426216,3
25,0,0,model15,0.48732834822,3
25,0,0,model6,0.41073321205,3
26,0,0,model14,0.19972921927,3
26,0,0,model15,0.49177565174,3
26,0,0,model6,0.41594646692,3
27,0,0,model14,0.20716787289,3
27,0,0,model15,0.49617848221,3
27,0,0,model6,0.42110758924,3
28,0,0,model14,0.21475362654,3
28,0,0,model15,0.50053728438,3
28,0,0,model6,0.42621710034,3
29,0,0,model14,0.22257079074,3
29,0,0,model15,0.50485249853,3
29,0,0,model6,0.43127551633,3
30,0,0,model14,0.23054567474,3
30,0,0,model15,0.50912456054,3
30,0,0,model6,0.43628334816,3
31,0,0,model14,0.23878500897,3
31,0,0,model15,0.51335390193,3
31,0,0,model6,0.44124110167,3
32,0,0,model14,0.24716906699,3
32,0,0,model15,0.5175409499,3
32,0,0,model6,0.44614927765,3
33,0,0,model14,0.25582511998,3
33,0,0,model15,0.52168612739,3
33,0,0,model6,0.45100837187,3
34,0,0,model14,0.2646388351,3
34,0,0,model15,0.52578985311,3
34,0,0,model6,0.45581887514,3
35,0,0,model14,0.27373222926,3
35,0,0,model15,0.52985254157,3
35,0,0,model6,0.46058127338,3
36,0,0,model14,0.2829971847,3
36,0,0,model15,0.53387460315,3
36,0,0,model6,0.46529604764,3
37,0,0,model14,0.29254999107,3
37,0,0,model15,0.53785644411,3
37,0,0,model6,0.46996367416,3
38,0,0,model14,0.30232408359,3
38,0,0,model15,0.54179846666,3
38,0,0,model6,0.47458462441,3
39,0,0,model14,0.31231397371,3
39,0,0,model15,0.54570106899,3
39,0,0,model6,0.47915936516,3
40,0,0,model14,0.32294113812,3
40,0,0,model15,0.54956464529,3
40,0,0,model6,0.4836883585,3
0,0,0,model20,0.01,4
0,0,0,model15,0.54956464529,4
0,0,0,model6,0.4836883585,4
0,0,0,model14,0.32294113812,4
1,0,0,model20,0.013836110189,4
1,0,0,model15,0.55660567454,4
1,0,0,model6,0.49138815062,4
1,0,0,model14,0.34807432913,4
2,0,0,model20,0.018388998821,4
2,0,0,model15,0.55748775542,4
2,0,0,model6,0.49292240674,4
2,0,0,model14,0.37979141091,4
3,0,0,model20,0.023836488279,4
3,0,0,model15,0.56403140199,4
3,0,0,model6,0.5001117068,4
3,0,0,model14,0.41109733158,4
4,0,0,model20,0.030605565835,4
4,0,0,model15,0.57159734556,4
4,0,0,model6,0.50831684731,4
4,0,0,model14,0.4517851982,4
5,0,0,model20,0.039733614162,4
5,0,0,model15,0.58576309315,4
5,0,0,model6,0.52311539988,4
5,0,0,model14,0.49736609971,4
6,0,0,model20,0.051248927519,4
6,0,0,model15,0.60205501325,4
6,0,0,model6,0.54003379692,4
6,0,0,model14,0.54637681319,4
7,0,0,model20,0.065655525436,4
7,0,0,model15,0.62873539209,4
7,0,0,model6,0.56733438792,4
7,0,0,model14,0.60333226758,4
8,0,0,model20,0.083520730541,4
8,0,0,model15,0.65148880143,4
8,0,0,model6,0.60016595935,4
8,0,0,model14,0.6523353585,4
9,0,0,model20,0.095954476688,4
9,0,0,model15,0.67291440151,4
9,0,0,model6,0.63910387457,4
9,0,0,model14,0.69423288653,4
10,0,0,model20,0.096040469544,4
10,0,0,model15,0.66729446675,4
10,0,0,model6,0.63382204509,4
10,0,0,model14,0.69277928457,4
