,model1,model2,phylum1,phylum2,jaccard_distance
3338,43,85,Firmicutes,Firmicutes,0.34198473282442743
616,7,45,Firmicutes,Firmicutes,0.34228769497400346
784,9,30,Firmicutes,Firmicutes,0.34245614035087724
4923,93,95,Firmicutes,Firmicutes,0.34294621979734996
2902,36,69,Actinobacteria,Actinobacteria,0.34304207119741104
3071,39,52,Proteobacteria,Proteobacteria,0.343254920787326
267,3,74,Proteobacteria,Proteobacteria,0.3433609958506224
2052,24,53,Proteobacteria,Proteobacteria,0.3441324694024478
3140,40,61,Firmicutes,Firmicutes,0.34458144062297213
943,10,99,Firmicutes,Firmicutes,0.34505494505494505
4007,57,61,Firmicutes,Firmicutes,0.345442536327609
952,11,19,Firmicutes,Actinobacteria,0.3456169737576773
550,6,72,Proteobacteria,Proteobacteria,0.345642540620384
361,4,72,Proteobacteria,Proteobacteria,0.3462125063548551
4051,58,63,Firmicutes,Firmicutes,0.34640000000000004
2336,28,43,Firmicutes,Firmicutes,0.3467446964155084
3263,42,67,Firmicutes,Firmicutes,0.3472041612483745
2819,35,50,Actinobacteria,Actinobacteria,0.34725685785536164
3262,42,66,Firmicutes,Firmicutes,0.3477979274611399
3257,42,61,Firmicutes,Firmicutes,0.3482620320855615
3120,40,41,Firmicutes,Firmicutes,0.34855607790463394
3261,42,65,Firmicutes,Firmicutes,0.3486714193130266
1789,20,100,Proteobacteria,Proteobacteria,0.34943052391799545
3201,41,63,Firmicutes,Firmicutes,0.3494860499265786
973,11,40,Firmicutes,Firmicutes,0.3495145631067961
895,10,51,Firmicutes,Actinobacteria,0.34989648033126297
2591,31,88,Firmicutes,Firmicutes,0.35
213,3,20,Proteobacteria,Proteobacteria,0.35093011563599796
779,9,25,Firmicutes,Firmicutes,0.35141329258976317
3252,42,56,Firmicutes,Firmicutes,0.35161744022503516
363,4,74,Proteobacteria,Proteobacteria,0.3516771488469602
3199,41,61,Firmicutes,Firmicutes,0.3517520215633423
3194,41,56,Firmicutes,Firmicutes,0.35181236673773986
894,10,50,Firmicutes,Actinobacteria,0.3522077922077922
261,3,68,Proteobacteria,Proteobacteria,0.3522668056279312
420,5,36,Actinobacteria,Actinobacteria,0.35290102389078504
4741,80,82,Bacteroidetes,Bacteroidetes,0.3537414965986394
1553,18,25,Firmicutes,Firmicutes,0.35451505016722407
4052,58,64,Firmicutes,Firmicutes,0.3550600343053173
3967,56,64,Firmicutes,Firmicutes,0.35537848605577693
1000,11,67,Firmicutes,Firmicutes,0.35582822085889576
2250,27,29,Firmicutes,Firmicutes,0.3573059360730594
1002,11,69,Firmicutes,Actinobacteria,0.35810055865921786
341,4,52,Proteobacteria,Proteobacteria,0.35858050847457623
999,11,66,Firmicutes,Firmicutes,0.35904550499445065
983,11,50,Firmicutes,Actinobacteria,0.35948414830736164
842,9,88,Firmicutes,Firmicutes,0.3595166163141994
998,11,65,Firmicutes,Firmicutes,0.359800111049417
3135,40,56,Firmicutes,Firmicutes,0.3599458728010826
3139,40,60,Firmicutes,Firmicutes,0.3599458728010826
1976,23,53,Proteobacteria,Proteobacteria,0.36008676789587857
984,11,51,Firmicutes,Actinobacteria,0.36057692307692313
