idx1,idx2,idx3,Common_growth_anaer,M1growth_anaer,M2growth_anaer,M3growth_anaer
1,2,3,0.772202525987291,0.032354946452693,0.0444982029491487,0.695349376585449
1,2,4,0.798320183278336,0.028970581648058,0.0578922166203525,0.711457385009926
1,2,5,0.98496964869791,0.129258660838987,0.57933086507968,0.276380122779243
1,2,6,0.723473780346528,0.272367902595831,0.339362907626577,0.111742970124121
1,2,7,1.11987401875666,0.324235749164347,0.0140689411031015,0.781569328489215
1,2,8,1.02942388356665,0.374769656268624,0.147266841607179,0.507387385690842
1,2,9,1.65953546123784,0.211930127364746,0.619224256304797,0.828381077568294
1,2,10,1.65193634787641,0.0330148778440568,0.260085860218388,1.35883560981396
1,2,11,1.36441638186649,0.767771110392923,0.0912624842647037,0.505382787208859
1,2,12,1.17996920761329,0.512208184846355,0.2339895611108,0.433771461656131
1,2,13,1.38901367765996,0.0903700655763887,0.31678791824645,0.981855693837118
1,2,14,0.901252285386412,0.275339260685384,0.298986002881301,0.326927021819727
1,2,15,0.741506605327391,0.204870008777897,0.258717026894655,0.277919569654838
1,2,16,0.827616014513352,0.520345509418254,0.222851059340958,0.0844194457541403
1,2,17,0.835328186849513,0.485718717701152,0.0895446839956388,0.260064785152722
1,2,18,0.896573109038857,0.268919833630055,0.295733126724318,0.331920148684485
1,2,19,3.69430147840098,0,-1.6774114382254e-13,3.69430147840115
1,2,20,0.921352970254894,0.566453684959206,0.00279146772750827,0.35210781756818
1,3,4,0.770905016395625,0.05022894224218,0,0.720676074153445
1,3,5,0.931346939131649,-2.32915456965933e-13,0.772692682054339,0.158654257077542
1,3,6,0.67287908644709,0.123848313054358,0.518610950799176,0.0304198225935561
1,3,7,1.01370302111789,0.175257493765324,0.340691723543793,0.497753803808777
1,3,8,1.11839337003228,0.191047443892304,0.5505973029687,0.376748623171273
1,3,9,1.28869724129467,0.0652613008811093,0.292594031401804,0.93084190901176
1,3,10,1.27708474087954,0.0929981121901003,0.253470845224271,0.930615783465165
1,3,11,1.27398149403398,0.300190018255172,0.553175327523834,0.420616148254976
1,3,12,1.31061136848499,0.105848172027742,0.7603625649867,0.444400631470545
1,3,13,1.08363421446001,0.220087840569556,0.282515553996966,0.581030819893491
1,3,14,0.81444385836961,0.117463474886978,0.450932309805837,0.246048073676794
1,3,15,0.836323993958318,0.144567627823418,0.558086022546699,0.133670343588202
1,3,16,0.770089928178811,0.0270904786276932,0.627421734787082,0.115577714764035
1,3,17,0.918077492329138,0.0346435673732568,0.58551876941694,0.297915155538941
1,3,18,0.82386949243771,0.0318644748468717,0.548864217613187,0.243140799977652
1,3,19,3.69430147839521,-2.2627217112532e-13,0,3.69430147839544
1,3,20,0.863410190047492,0.0670357310617288,0.522554266785888,0.273820192199875
1,4,5,1.18711465347782,0.0463367075526788,1.03009583540245,0.110682110522689
1,4,6,0.859480985000632,0.107085178828249,0.601608125206195,0.150787680966188
1,4,7,1.21533252872939,0.169147717651351,0.467449385083458,0.578735425994581
1,4,8,1.13439988116454,0.110594562204655,0.638226347468911,0.385578971490975
1,4,9,1.52325496612282,0.117975786857776,0.992375475767854,0.412903703497194
1,4,10,1.50778548029923,0.166256215499804,0.976905989943811,0.36462327485561
1,4,11,1.48618323381054,0.327106590944881,0.646139978831626,0.51293666403403
1,4,12,1.31033600590809,0.10339012109984,0.757989538128658,0.448956346679592
1,4,13,1.30468887976182,0.26880981765127,0.333231284581311,0.702647777529238
1,4,14,1.07339649949282,0.0963004921459062,0.625784081317882,0.351311926029032
1,4,15,0.855616594333711,0.0823769019807383,0.585128891570988,0.188110800781984
1,4,16,0.955167829699775,0.0269247712871948,0.815770242428299,0.112472815984281
1,4,17,0.909963793621348,0.0392105341929262,0.530574479924591,0.340178779503831
1,4,18,1.05492523327376,0.0759327383648976,0.624006642126651,0.354985852782215
1,4,19,3.6943014783943,-1.49455894894393e-13,0,3.69430147839445
1,4,20,1.09605879467779,0.0691188971309519,0.654296906890359,0.372642990656476
1,5,6,0.621701649978236,0.045586248638778,0.576115401339341,1.17207490362596e-13
1,5,7,3.02596786036068,-2.32411136350432e-13,1.80196250468943,1.22400535567149
1,5,8,1.31704961448634,0.0944442177189231,4.02367649735248e-14,1.22260539676738
1,5,9,2.44184958611872,-1.7043483332365e-13,0,2.44184958611889
1,5,10,1.23254854858473,-1.78029886886116e-13,0,1.23254854858491
1,5,11,2.75475179723173,2.19564253086951e-25,2.5626158088761,0.192135988355631
1,5,12,1.28985920354446,4.63494798241292e-14,0.933801179096875,0.35605802444754
1,5,13,1.14234473980164,0.296948200095677,1.17584783558587e-13,0.845396539705844
1,5,14,0.725724549171583,-1.3602068480976e-12,0.468669865178343,0.2570546839946
1,5,15,2.5626158088868,0.166355041742691,1.76779267015571,0.628468096988397
1,5,16,0.605019751527414,-2.53169543883812e-13,0.548817262856458,0.0562024886712087
1,5,17,0.902306050617719,9.81328013248677e-26,0.550429806147113,0.351876244470605
1,5,18,0.730739685418436,3.87295024328387e-13,0.492073374881933,0.238666310536116
1,5,19,2.70280552880371,1.75063586261092,0.494531027193951,0.45763863899884
1,5,20,2.56261580886646,0.0972908958181939,2.46532491304827,2.09882313835964e-24
1,6,7,3.83381997143316,-1.7043483332365e-13,-8.80430876186115e-28,3.83381997143333
1,6,8,0.905688379623026,0.41776445213346,7.88072813102726e-14,0.487923927489487
1,6,9,2.56261580888086,0.277575896313447,1.58858826080948e-12,2.28503991256582
1,6,10,2.56261580887511,0.0849450017204128,1.96762570616154,0.510045100993163
1,6,11,1.01954196310817,0.144750389675994,0.415816544184933,0.458975029247242
1,6,12,1.03288756167041,0.254860719562797,0.316289466577319,0.461737375530293
1,6,13,2.56261580887137,0.0166415473279907,-1.42415056400504e-11,2.54597426155762
1,6,14,0.547155374066218,0.181254616094066,0.123601274012999,0.242299483959153
1,6,15,2.26241820465264,-5.65981435372439e-14,0.530879490355442,1.73153871429726
1,6,16,0.442686134683558,0.321541700256742,0.0430059435967028,0.0781384908301135
1,6,17,0.708944683972987,0.474020473267341,0.0244118118461538,0.210512398859492
1,6,18,0.502389552388636,0.268609030174339,0.0280578473062276,0.20572267490807
1,6,19,2.70280552880178,0.29359532432814,1.9515715654748,0.45763863899884
1,6,20,0.710593275382991,0.371149805822698,3.94036406551363e-14,0.339443469560254
1,7,8,4.26930628262586,-1.56411996588975e-13,3.03001848027565,1.23928780235037
1,7,9,4.0302769187062,0,4.0302769187064,-2.02233697754952e-13
1,7,10,3.99063176694178,-1.7043483332365e-13,3.99063176694219,-2.40589552179575e-13
1,7,11,4.41449084526063,-1.59374803289492e-13,4.41449084526079,0
