organism,anaer_growth
1,0.215420245702852
2,0.444713807368828
3,0.394306174753815
4,0.549020949342608
5,0.34770934726804
6,0.205555081426788
7,0.84573414664807
8,0.832166726381869
9,0.952665342434461
10,0.939573486542583
11,0.387329406963381
12,0.376390980452092
13,0.813709797074609
14,0.216240229208626
15,0.413000849276959
16,0.115216765273805
17,0.417718551870375
18,0.172286618737597
19,0.45763863899884
20,0.315050580762212
