idx1,idx2,Common_growth_anaer,M1growth_anaer,M2growth_anaer,M1growth_mono,M2growth_mono,alpha1,alpha2,interaction_type,interaction_subclass1,interaction_subclass2
1,2,0.633686072303995,0.442736742298763,0.190949330005231,0.215420245702852,0.444713807368828,105.522345800993,-57.0624237787909,parasitism,parasitism_taker,parasitism_giver
1,3,0.600372444573774,0.0969472995906895,0.503425144983085,0.215420245702852,0.394306174753815,-54.9961985818095,27.6736650896727,parasitism,parasitism_giver,parasitism_taker
1,4,0.754364690173922,0.049128984377085,0.705235705796837,0.215420245702852,0.549020949342608,-77.1938871312714,28.4533325442825,parasitism,parasitism_giver,parasitism_taker
1,5,0.511493416679734,-5.49885925508115e-14,0.511493416679789,0.215420245702852,0.34770934726804,-100.000000000026,47.1037292205701,parasitism,parasitism_giver,parasitism_taker
1,6,0.328401344033188,0.2547172593408,0.0736840846923872,0.215420245702852,0.205555081426788,18.2420243323621,-64.1536058457251,parasitism,parasitism_taker,parasitism_giver
1,7,0.868236585538075,0.179068303227539,0.689168282310537,0.215420245702852,0.84573414664807,-16.8748960232161,-18.5124208308316,competition,,
1,8,0.896820954327163,0.414768362350626,0.482052591976537,0.215420245702852,0.832166726381869,92.5391742996863,-42.0725947464367,parasitism,parasitism_taker,parasitism_giver
1,9,1.05482223929824,-1.7043483332365e-13,1.05482223929841,0.215420245702852,0.952665342434461,-100.000000000079,10.723272099192,parasitism,parasitism_giver,parasitism_taker
1,10,1.05017543396464,-1.77505024553575e-13,1.05017543396482,0.215420245702852,0.939573486542583,-100.000000000082,11.7715057955948,parasitism,parasitism_giver,parasitism_taker
1,11,0.81137576093199,0.500320783705223,0.311054977226767,0.215420245702852,0.387329406963381,132.253371577414,-19.6923931840334,parasitism,parasitism_taker,parasitism_giver
1,12,0.866608447239131,0.520345509418254,0.346262937820878,0.215420245702852,0.376390980452092,141.549027910781,-8.00445393112944,commensalism,commensal_taker,commensal_unaffected
1,13,0.879260088273095,0.139129217984087,0.740130870289008,0.215420245702852,0.813709797074609,-35.4149757233126,-9.04240394427184,amensalism,amensal_affected,amensal_unaffected
1,14,0.48109779453262,0.286399491999023,0.194698302533597,0.215420245702852,0.216240229208626,32.949199396086,-9.96203470273096,commensalism,commensal_taker,commensal_unaffected
1,15,0.545575448136433,0.144150013296563,0.40142543483987,0.215420245702852,0.413000849276959,-33.084277744534,-2.80275802273868,amensalism,amensal_affected,amensal_unaffected
1,16,0.36014534687945,0.279657461043288,0.0804878858361619,0.215420245702852,0.115216765273805,29.8194884751195,-30.1422100812432,parasitism,parasitism_taker,parasitism_giver
1,17,0.635695154600349,0.410110536113744,0.225584618486605,0.215420245702852,0.417718551870375,90.37696980415,-45.9960259182821,parasitism,parasitism_taker,parasitism_giver
1,18,0.439450221519949,0.274933847206407,0.164516374313541,0.215420245702852,0.172286618737597,27.6267447887177,-4.51006844349906,commensalism,commensal_taker,commensal_unaffected
1,19,2.07710680565291,1.61946816665407,0.45763863899884,0.215420245702852,0.45763863899884,651.771571594968,-2.42598183373229e-14,commensalism,commensal_taker,commensal_unaffected
1,20,0.619225053711505,0.401445948427606,0.217779105283899,0.215420245702852,0.315050580762212,86.3547908961889,-30.8748757875579,parasitism,parasitism_taker,parasitism_giver
2,3,0.604540604266626,0.0450797367351881,0.559460867531438,0.444713807368828,0.394306174753815,-89.8632028085872,41.8848862513346,parasitism,parasitism_giver,parasitism_taker
2,4,0.629053267145343,0.0593527898446328,0.56970047730071,0.444713807368828,0.549020949342608,-86.6537110246707,3.76661910312591,amensalism,amensal_affected,amensal_unaffected
2,5,0.653264351689004,0.478608897553539,0.174655454135465,0.444713807368828,0.34770934726804,7.62177598785461,-49.7696983104606,amensalism,amensal_unnaffected,amensal_affected
2,6,0.63923113722735,0.5106323667422,0.12859877048515,0.444713807368828,0.205555081426788,14.8226923205697,-37.4382916770887,parasitism,parasitism_taker,parasitism_giver
2,7,1.07917570178181,0.0495622092915238,1.02961349249029,0.444713807368828,0.84573414664807,-88.8552573654591,21.7419796245658,parasitism,parasitism_giver,parasitism_taker
2,8,0.986162959897828,0.441823618189216,0.544339341708612,0.444713807368828,0.832166726381869,-0.649898683540218,-34.5877064713564,amensalism,amensal_unnaffected,amensal_affected
2,9,1.61555748751655,0.315710742782324,1.29984674473423,0.444713807368828,0.952665342434461,-29.0081086867434,36.4431649641594,parasitism,parasitism_giver,parasitism_taker
2,10,1.60394275740809,0.311935994901825,1.29200676250626,0.444713807368828,0.939573486542583,-29.8569125282144,37.5099213644858,parasitism,parasitism_giver,parasitism_taker
2,11,1.12650691452046,0.61909299196602,0.507413922554442,0.444713807368828,0.387329406963381,39.2115517233242,31.0032012628501,mutualism,,
2,12,1.03335839136294,0.615093260715687,0.418265130647253,0.444713807368828,0.376390980452092,38.3121572849106,11.1251736544975,mutualism,,
2,13,1.34318030810434,0.387792673328094,0.955387634776246,0.444713807368828,0.813709797074609,-12.7994978113026,17.4113471671334,parasitism,parasitism_giver,parasitism_taker
2,14,0.738651529565007,0.40060372954872,0.338047800016288,0.444713807368828,0.216240229208626,-9.91875608294862,56.3297455119434,commensalism,commensal_unaffected,commensal_taker
2,15,0.622097349751295,0.28409529917824,0.338002050573055,0.444713807368828,0.413000849276959,-36.117274869628,-18.1594780822374,competition,,
2,16,0.717774367807838,0.545779907925432,0.171994459882405,0.444713807368828,0.115216765273805,22.7260990960833,49.2790215674532,mutualism,,
