cycle,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20
16,0.16341319454,0.42229215656,0.34888462252,0.0085145777109,0.30316305356,0.17169896136,0.72092620246,0.0085145777109,0.81976095592,0.82402815967,0.0085145777109,0.0085145777109,0.66648591222,0.0085145777109,0.32617465489,0.10625857339,0.33455970128,0.0085145777109,0.46615101768,0.0085145777109
17,0.16381836979,0.42224893371,0.34924288489,0.0084294319338,0.30325862384,0.17176398961,0.72149215986,0.0084294319338,0.81991755121,0.82552059705,0.0084294319338,0.0084294319338,0.66723302551,0.0084294319338,0.32662361413,0.10617342762,0.33494509416,0.0084294319338,0.4660658719,0.0084294319338
18,0.16421949328,0.42220614308,0.34959756464,0.0083451376145,0.30335323843,0.17182836759,0.72205245769,0.0083451376145,0.82007258055,0.82699811007,0.0083451376145,0.0083451376145,0.66797266768,0.0083451376145,0.32706808377,0.1060891333,0.33532663311,0.0083451376145,0.46598157758,0.0083451376145
19,0.16461660554,0.42216378035,0.34994869759,0.0082616862384,0.30344690687,0.17189210178,0.72260715254,0.0082616862384,0.82022605959,0.82846084795,0.0082616862384,0.0082616862384,0.66870491342,0.0082616862384,0.32750810872,0.10600568192,0.33570435667,0.0082616862384,0.4658981262,0.0082616862384
20,0.16500974668,0.42212184126,0.35029631921,0.008179069376,0.30353963862,0.17195519863,0.72315630045,0.008179069376,0.82037800384,0.82990895845,0.008179069376,0.008179069376,0.6694298367,0.008179069376,0.32794373342,0.10592306506,0.336078303,0.008179069376,0.46581550934,0.008179069376
21,0.16539895641,0.42208032155,0.35064046461,0.0080972786822,0.30363144306,0.17201766452,0.72369995687,0.0080972786822,0.82052842866,0.83068230214,0.0080972786822,0.0080972786822,0.67014751075,0.0080972786822,0.32837500187,0.10584127437,0.33644850986,0.0080972786822,0.46573371865,0.0080972786822
22,0.16578427403,0.42203921704,0.35098116856,0.0080163058954,0.30372232945,0.17207950574,0.72423817673,0.0080163058954,0.82067734922,0.83076037934,0.0080163058954,0.0080163058954,0.67085800806,0.0080163058954,0.32880195764,0.10576030158,0.33681501466,0.0080163058954,0.46565274586,0.0080163058954
23,0.16616573849,0.42199852358,0.35131846547,0.0079361428364,0.30381230698,0.17214072856,0.72477101439,0.0079361428364,0.82082478058,0.83083767578,0.0079361428364,0.0079361428364,0.6715614004,0.0079361428364,0.32922464385,0.10568013852,0.33717785441,0.0079361428364,0.4655725828,0.0079361428364
24,0.16654338829,0.42195823705,0.35165238941,0.0078567814081,0.30390138473,0.17220133914,0.72529852367,0.0078567814081,0.82097073762,0.83091419925,0.0078567814081,0.0078567814081,0.67225775881,0.0078567814081,0.3296431032,0.10560077709,0.33753706575,0.0078567814081,0.46549322137,0.0078567814081
25,0.1669172616,0.42191835339,0.35198297411,0.007778213594,0.30398957171,0.17226134362,0.72582075786,0.007778213594,0.8211152351,0.83098995748,0.007778213594,0.007778213594,0.67294715364,0.007778213594,0.33005737796,0.10552220928,0.33789268499,0.007778213594,0.46541465356,0.007778213594
26,0.16728739618,0.42187886856,0.35231025296,0.0077004314581,0.30407687682,0.17232074805,0.72633776971,0.0077004314581,0.8212582876,0.83106495813,0.0077004314581,0.0077004314581,0.67362965452,0.0077004314581,0.33046750997,0.10544442714,0.33824474803,0.0077004314581,0.46533687142,0.0077004314581
27,0.16765382941,0.42183977858,0.35263425903,0.0076234271435,0.30416330887,0.17237955844,0.72684961144,0.0076234271435,0.82139990957,0.83113920878,0.0076234271435,0.0076234271435,0.6743053304,0.0076234271435,0.33087354065,0.10536742283,0.33859329045,0.0076234271435,0.46525986711,0.0076234271435
28,0.16801659831,0.4218010795,0.35295502503,0.007547192872,0.3042488766,0.17243778073,0.72735633475,0.007547192872,0.82154011533,0.83121271692,0.007547192872,0.007547192872,0.67497424951,0.007547192872,0.33127551103,0.10529118856,0.33893834743,0.007547192872,0.46518363284,0.007547192872
29,0.16837573952,0.42176276742,0.35327258338,0.0074717209433,0.30433358866,0.17249542079,0.72785799083,0.0074717209433,0.82167891902,0.83123238331,0.0074717209433,0.0074717209433,0.67563647943,0.0074717209433,0.33167346171,0.10521571663,0.33927995385,0.0074717209433,0.46510816091,0.0074717209433
30,0.16873128931,0.42172483845,0.35358696614,0.0073970037339,0.3044174536,0.17255248445,0.72835463035,0.0073970037339,0.82181633469,0.83124193408,0.0073970037339,0.0073970037339,0.67629208706,0.0073970037339,0.33206743288,0.10514099942,0.33961814421,0.0073970037339,0.4650334437,0.0073970037339
